"ID","ICH","SEXO","AUTLIC","ILM","HTS","JEFH","TVIA1","TVIA2","TVIA3","TVIA4","TVIA5","TCAM1","TCAM2","TCAM3","TCAM4","TCAM5","TESP3","TESP4","TESP5","CTOT1_w","CTOT2_w","CTOT3_w","CTOT4_w","CTOT5_w","DISP1","DISP2","DISP3","DISP4","DISP5"
"2",1,4,0,0.5,25000,44,0,448,448,536,468,1142,202,202,288,331,288,18,78,12,29.06112,3.17856,22.704,5.90304,9.0816,1,1,1,1,1
"4",2,4,0,0.33,47000,44,0,744,744,641,702,1399,216,216,346,360,346,24,78,30,20.5302127659574,3.13991489361702,14.491914893617,3.13991489361702,4.83063829787234,1,1,1,1,1
"6",3,4,1,0.5,65000,44,1,527,527,480,396,1082,144,144,230,360,230,18,78,6,11.352,1.22252307692308,10.4787692307692,2.2704,3.49292307692308,1,1,1,1,1
"8",4,4,1,0.5,22000,44,0,0,672,647,702,1420,0,144,338,504,338,24,78,30,0,5.676,30.96,6.708,10.32,0,1,1,1,1
"10",5,4,1,0.5,120000,44,1,877,877,706,768,1539,216,216,468,886,468,24,78,30,7.568,1.419,5.676,1.2298,1.892,1,1,1,1,1
"14",7,2,0,0.5,30000,44,0,1272,1272,1274,0,2177,216,216,230,0,230,30,0,96,41.2456,10.9736,22.704,0,3.784,1,1,1,0,1
"16",8,1,0,1,60000,44,1,575,575,586,0,1226,0,0,79,0,79,30,0,36,2.2704,1.1352,9.46,0,1.892,1,1,1,0,1
"22",11,5,1,0.5,63000,48,1,824,824,908,0,1079,144,144,144,0,144,48,0,108,33.4171428571429,4.91428571428571,9.82857142857143,0,3.53828571428571,1,1,1,0,1
"24",12,1,1,0.66,120000,44,1,776,776,847,0,0,216,216,252,0,0,36,0,0,12.9602,1.7974,5.676,0,0,1,1,1,0,0
"26",13,1,1,1,110000,44,1,768,768,0,0,0,0,0,0,0,0,0,0,0,10.0104,2.3736,0,0,0,1,1,0,0,0
"40",21,1,1,1,1e+05,40,1,867,0,0,0,2002,144,0,0,0,317,0,0,48,10.5264,0,0,0,2.064,1,0,0,0,1
"46",24,1,1,0.5,95000,44,1,565,565,815,0,1469,0,0,144,0,144,36,0,48,3.58484210526316,1.79242105263158,7.16968421052631,0,2.38989473684211,1,1,1,0,1
"52",27,4,1,1,67000,44,1,245,245,576,456,1155,540,540,727,943,727,18,78,12,2.03319402985075,1.01659701492537,10.1659701492537,2.20262686567164,3.38865671641791,1,1,1,1,1
"54",28,4,1,1,62000,44,1,0,721,939,690,1447,0,706,648,850,648,48,78,54,0,2.38025806451613,10.9858064516129,2.38025806451613,3.66193548387097,0,1,1,1,1
"56",29,3,1,0.5,65000,44,1,859,859,1079,0,1621,706,706,583,0,583,48,0,54,12.7491692307692,2.09575384615385,10.4787692307692,0,3.49292307692308,1,1,1,0,1
"66",34,5,1,0.5,53000,44,1,1403,1403,1149,0,2119,706,706,590,0,590,30,0,96,17.3492830188679,3.42701886792453,12.851320754717,0,4.28377358490566,1,1,1,0,1
"68",35,2,0,0.66,26000,45,0,0,778,1358,0,0,0,540,871,0,0,36,0,0,0,8.03769230769231,26.7923076923077,0,0,0,1,1,0,0
"70",36,1,0,1,30000,45,0,1158,1158,1037,0,1942,504,504,475,0,475,30,0,54,11.223,5.805,23.22,0,7.74,1,1,1,0,1
"76",39,5,1,0.5,50000,45,1,1052,1052,1255,0,2599,706,706,493,0,493,36,0,42,24.1488,6.2694,13.932,0,5.3406,1,1,1,0,1
"78",40,4,0,1,60000,45,0,0,0,1169,774,1766,0,0,590,1051,590,48,78,54,0,0,11.61,2.5155,3.87,0,0,1,1,1
"80",41,4,1,1,60000,45,1,0,0,833,840,1721,0,0,857,929,857,24,78,42,0,0,11.61,2.5155,3.87,0,0,1,1,1
"94",48,5,1,0.5,15000,44,0,0,918,884,0,1736,0,706,490,0,490,30,0,36,0,8.3248,45.408,0,15.136,0,1,1,0,1
"104",53,5,1,0.66,45000,44,1,752,752,713,0,1442,202,202,101,0,101,30,0,36,16.9018666666667,2.2704,15.136,0,5.04533333333333,1,1,1,0,1
"106",54,4,1,0.66,140000,44,1,475,475,634,546,1357,533,533,626,583,626,18,78,12,1.45954285714286,0.729771428571429,4.86514285714286,1.05411428571429,1.62171428571429,1,1,1,1,1
"109",56,4,1,0.5,35000,44,0,0,465,631,468,1279,0,706,763,720,763,18,78,12,0,1.62171428571429,19.4605714285714,4.21645714285714,6.48685714285714,0,1,1,1,1
"111",57,4,1,1,80000,44,1,456,456,615,468,1315,706,706,871,1030,871,18,78,12,10.2168,1.5609,8.514,1.8447,2.838,1,1,1,1,1
"113",58,5,1,0.5,82000,44,1,0,616,974,0,1451,0,706,475,0,475,48,0,54,0,1.52282926829268,6.92195121951219,0,2.76878048780488,0,1,1,0,1
"118",61,4,1,0.5,60000,44,1,746,746,715,546,1473,252,252,252,274,252,24,78,18,22.704,1.892,11.352,2.4596,3.784,1,1,1,1,1
"119",62,4,1,0.5,45000,44,1,630,630,591,546,1285,252,252,382,655,122,18,78,12,25.4789333333333,2.77493333333333,15.136,3.27946666666667,5.04533333333333,1,1,1,1,1
"125",65,4,1,0.5,75000,44,1,434,434,460,390,956,418,418,158,58,158,18,78,12,13.77376,0.7568,7.568,1.96768,3.0272,1,1,1,1,1
"127",66,5,1,0.5,60000,44,1,532,532,824,546,1261,418,418,216,684,216,48,78,54,18.5416,1.7028,11.352,2.4596,3.784,1,1,1,1,1
"131",68,4,1,0.5,80000,44,1,1052,1052,0,840,2018,418,418,0,1858,648,0,78,42,20.1498,4.3989,0,1.8447,2.838,1,1,0,1,1
"137",71,4,0,0,10000,40,1,0,547,488,468,1072,0,418,295,281,295,18,78,12,0,7.224,61.92,13.416,20.64,0,1,1,1,1
"141",73,4,0,0.66,80000,44,1,469,469,494,390,1045,115,115,144,418,144,18,78,12,13.3386,0.9933,8.514,1.8447,2.838,1,1,1,1,1
