"ID","ICH","SEXO","AUTLIC","ILM","HTS","JEFH","TVIA1","TVIA2","TVIA3","TVIA4","TVIA5","TCAM1","TCAM2","TCAM3","TCAM4","TCAM5","TESP3","TESP4","TESP5","CTOT1_w","CTOT2_w","CTOT3_w","CTOT4_w","CTOT5_w","DISP1","DISP2","DISP3","DISP4","DISP5"
"1",1,5,1,0,28000,44,1,0,0,365,0,521,0,0,418,0,418,138,0,12,0,0,32.4342857142857,0,16.2171428571429,0,0,1,0,1
"3",2,4,1,0,28000,40,1,0,0,0,372,340,0,0,0,353,331,0,192,6,0,0,0,9.21428571428572,14.7428571428571,0,0,0,1,1
"5",3,4,1,0,20000,44,0,0,0,0,684,835,0,0,0,972,886,0,192,12,0,0,0,14.19,22.704,0,0,0,1,1
"7",4,4,1,0,36000,47,1,0,0,0,294,485,0,0,0,475,461,0,192,42,0,0,0,8.42083333333333,13.4733333333333,0,0,0,1,1
"9",5,5,1,0,13500,50,1,0,0,466,372,382,0,0,562,461,353,138,192,6,0,0,76.4444444444445,23.8888888888889,38.2222222222222,0,0,1,1,1
"11",6,5,1,0,28000,45,1,0,0,702,0,1001,0,0,806,0,806,138,0,12,0,0,33.1714285714286,0,16.5857142857143,0,0,1,0,1
"13",7,5,1,0,25000,46,1,0,0,559,0,844,0,0,806,0,713,138,0,12,0,0,37.9776,0,18.9888,0,0,1,0,1
"15",8,4,0,0.5,38000,42,1,790,790,0,636,796,144,144,0,720,648,0,192,18,29.6564210526316,10.5508421052632,0,7.12894736842105,11.4063157894737,1,1,0,1,1
"17",9,5,1,0,14000,40,1,0,0,178,0,250,0,0,943,0,943,138,0,12,0,0,58.9714285714286,0,29.4857142857143,0,0,1,0,1
"19",10,5,1,0,21000,44,1,0,0,0,0,1408,0,0,0,0,504,0,0,432,0,0,0,0,21.6228571428571,0,0,0,0,1
"21",11,4,1,0,17000,44,1,0,0,0,438,569,0,0,0,662,590,0,192,12,0,0,0,16.6941176470588,26.7105882352941,0,0,0,1,1
"23",12,5,1,0,27000,40,1,0,0,336,0,490,0,0,857,0,857,138,0,12,0,0,30.5777777777778,0,15.2888888888889,0,0,1,0,1
"25",13,4,0,0,29000,45,1,0,0,0,510,679,0,0,0,785,554,0,192,12,0,0,0,10.0086206896552,16.0137931034483,0,0,0,1,1
"27",14,5,1,0.5,70000,40,1,996,1015,0,0,1193,144,0,0,0,648,0,0,42,22.8514285714286,9.43542857142857,0,0,5.89714285714286,1,1,0,0,1
"28",15,5,1,0,40000,44,1,0,0,422,0,701,0,0,396,0,475,36,0,42,0,0,22.704,0,11.352,0,0,1,0,1
"29",16,5,1,0,21000,55,1,0,0,0,0,2055,0,0,0,0,374,0,0,180,0,0,0,0,27.0285714285714,0,0,0,0,1
"31",17,5,1,0,38000,48,1,0,0,0,324,382,0,0,0,605,418,0,192,6,0,0,0,8.14736842105263,9.77684210526316,0,0,0,1,1
"37",20,4,1,1,34000,44,1,220,0,262,246,399,202,0,274,482,274,24,192,60,17.3618823529412,0,26.7105882352941,8.34705882352941,13.3552941176471,1,0,1,1,1
"39",21,4,1,0,25000,40,0,0,0,0,462,630,0,0,0,1058,302,0,120,12,0,0,0,4.5408,16.512,0,0,0,1,1
"41",22,4,0,1,29000,40,0,0,326,311,384,521,0,0,374,662,374,24,192,60,0,9.60827586206896,28.4689655172414,8.89655172413793,14.2344827586207,0,1,1,1,1
"43",23,4,1,0,84000,50,1,0,0,0,618,764,0,0,0,302,158,0,192,12,0,0,0,3.83928571428571,6.14285714285714,0,0,0,1,1
"45",24,4,0,0,30000,50,1,0,0,0,738,1039,0,0,0,770,432,0,192,210,0,0,0,10.75,17.2,0,0,0,1,1
"47",25,5,0,0,30000,63,0,0,0,0,0,1091,0,0,0,0,166,0,0,180,0,0,0,0,21.672,0,0,0,0,1
"49",26,4,0,0,31000,45,0,0,0,0,612,704,0,0,0,720,605,0,192,12,0,0,0,9.36290322580645,14.9806451612903,0,0,0,1,1
"51",27,5,0,0.66,60000,48,0,1087,1094,0,0,1328,144,0,0,0,238,0,0,42,30.3408,12.384,0,0,8.256,1,1,0,0,1
