ID;CHOICE;LUGGAGE;AGE;GA;TRAIN_TT;TRAIN_CO;SM_TT;SM_CO;SM_SEATS;CAR_TT;CAR_CO
1;2;0;3;0;112;48;63;52;0;117;65
1;2;0;3;0;103;48;60;49;0;117;84
1;2;0;3;0;130;48;67;58;0;117;52
1;2;0;3;0;103;40;63;52;0;72;52
1;2;0;3;0;130;36;63;42;0;90;84
1;2;0;3;0;112;36;60;49;0;90;52
1;2;0;3;0;103;48;67;58;0;72;65
1;1;0;3;0;103;36;67;43;0;90;65
1;2;0;3;0;130;40;60;46;0;72;65
2;2;1;2;0;184;62;76;70;0;0;0
2;2;1;2;0;170;62;70;66;0;0;0
2;2;1;2;0;213;62;84;82;0;0;0
2;2;1;2;0;170;52;76;72;0;0;0
2;2;1;2;0;213;47;76;53;0;0;0
2;2;1;2;0;184;47;70;66;0;0;0
2;2;1;2;0;170;62;84;82;0;0;0
2;2;1;2;0;170;47;84;57;0;0;0
2;2;1;2;0;213;52;70;62;0;0;0
3;2;1;2;0;58;32;29;35;0;105;40
3;2;1;2;0;58;29;25;38;0;136;50
3;2;1;2;0;58;32;27;40;1;136;65
3;2;1;2;0;47;29;25;38;1;84;65
3;2;1;2;0;51;32;25;36;1;136;40
3;2;1;2;0;51;38;25;42;0;84;40
3;2;1;2;0;51;29;27;32;1;84;50
3;2;1;2;0;51;32;27;40;0;105;50
3;2;1;2;0;58;38;27;42;0;84;65
4;2;1;2;0;138;40;65;45;0;135;80
4;2;1;2;0;138;40;61;52;1;175;130
4;2;1;2;0;138;36;58;49;0;175;100
4;2;1;2;0;105;36;58;49;1;108;130
4;2;1;2;0;116;40;58;46;1;175;80
4;2;1;2;0;116;36;61;42;1;108;100
4;2;1;2;0;116;48;58;50;0;108;80
4;2;1;2;0;138;48;61;52;0;108;130
4;2;1;2;0;116;40;61;52;0;135;100
5;2;1;2;0;269;70;216;72;0;0;0
5;2;1;2;0;243;70;213;70;0;0;0
5;2;1;2;0;320;70;220;74;0;0;0
5;2;1;2;0;243;58;216;66;0;0;0
5;2;1;2;0;320;52;216;57;0;0;0
5;2;1;2;0;269;52;213;62;0;0;0
5;2;1;2;0;243;70;220;74;0;0;0
5;2;1;2;0;243;52;220;57;0;0;0
5;2;1;2;0;320;58;213;64;0;0;0
6;2;1;3;0;116;35;46;38;1;70;35
6;2;1;3;0;95;26;49;29;0;91;28
6;2;1;3;0;116;26;53;32;1;56;28
6;2;1;3;0;102;26;53;32;0;91;45
6;2;1;3;0;102;29;53;32;0;56;45
6;2;1;3;0;95;29;53;32;1;91;35
6;2;1;3;0;95;35;49;40;1;70;28
6;2;1;3;0;95;29;46;35;0;70;45
6;2;1;3;0;102;35;53;46;1;70;45
7;2;1;3;0;87;42;32;49;0;117;140
7;2;1;3;0;80;42;29;46;0;117;182
7;2;1;3;0;101;42;36;56;0;117;112
7;2;1;3;0;80;35;32;49;0;72;112
7;2;1;3;0;101;31;32;38;0;90;182
7;2;1;3;0;87;31;29;46;0;90;112
7;1;1;3;0;80;42;36;56;0;72;140
7;2;1;3;0;80;31;36;40;0;90;140
7;2;1;3;0;101;35;29;43;0;72;140
8;2;1;4;0;109;26;56;34;0;130;30
8;2;1;4;0;100;26;53;32;0;130;39
8;2;1;4;0;126;26;60;40;0;130;24
8;3;1;4;0;100;22;56;35;0;80;24
8;2;1;4;0;126;20;56;24;0;100;39
8;3;1;4;0;109;20;53;32;0;100;24
8;3;1;4;0;100;26;60;40;0;80;30
8;2;1;4;0;100;20;60;26;0;100;30
8;2;1;4;0;126;22;53;28;0;80;30
9;2;1;2;0;116;24;53;28;0;60;32
9;2;1;2;0;116;22;46;32;0;78;40
9;2;1;2;0;116;24;49;36;1;78;52
9;2;1;2;0;95;22;46;32;1;48;52
9;2;1;2;0;102;24;46;29;1;78;32
9;2;1;2;0;102;29;46;32;0;48;32
9;2;1;2;0;102;22;49;25;1;48;40
9;2;1;2;0;102;24;49;36;0;60;40
9;2;1;2;0;116;29;49;35;0;48;52
10;2;1;2;0;131;42;59;46;1;0;0
10;1;1;2;0;110;31;62;38;0;0;0
10;2;1;2;0;131;31;66;40;1;0;0
10;2;1;2;0;117;31;66;40;0;0;0
10;2;1;2;0;117;35;66;42;0;0;0
10;2;1;2;0;110;35;66;42;1;0;0
10;2;1;2;0;110;42;62;49;1;0;0
10;2;1;2;0;110;35;59;43;0;0;0
10;1;1;2;0;117;42;66;56;1;0;0
11;2;1;2;0;116;32;52;38;0;0;0
11;2;1;2;0;116;32;48;43;1;0;0
11;2;1;2;0;116;29;45;40;0;0;0
11;2;1;2;0;93;29;45;40;1;0;0
11;2;1;2;0;101;32;45;40;1;0;0
11;2;1;2;0;101;29;48;34;1;0;0
11;2;1;2;0;101;38;45;43;0;0;0
11;2;1;2;0;116;38;48;45;0;0;0
11;2;1;2;0;101;32;48;43;0;0;0
12;2;1;3;0;131;36;66;42;0;0;0
12;2;1;3;0;131;36;62;50;1;0;0
12;2;1;3;0;131;32;59;48;0;0;0
12;2;1;3;0;110;32;59;48;1;0;0
12;2;1;3;0;117;36;59;45;1;0;0
12;2;1;3;0;117;32;62;38;1;0;0
12;2;1;3;0;117;43;59;48;0;0;0
12;2;1;3;0;131;43;62;49;0;0;0
12;2;1;3;0;117;36;62;50;0;0;0
13;2;1;3;0;168;37;86;40;1;0;0
13;2;1;3;0;129;28;89;32;0;0;0
13;2;1;3;0;168;28;93;32;1;0;0
13;2;1;3;0;142;28;93;32;0;0;0
13;2;1;3;0;142;31;93;34;0;0;0
13;1;1;3;0;129;31;93;34;1;0;0
13;1;1;3;0;129;37;89;42;1;0;0
13;2;1;3;0;129;31;86;36;0;0;0
13;2;1;3;0;142;37;93;46;1;0;0
14;2;1;3;0;130;31;77;38;0;91;100
14;2;1;3;0;118;31;74;36;0;91;130
14;2;1;3;0;153;31;81;43;0;91;80
14;1;1;3;0;118;26;77;38;0;56;80
14;2;1;3;0;153;23;77;28;0;70;130
14;2;1;3;0;130;23;74;35;0;70;80
14;2;1;3;0;118;31;81;43;0;56;100
14;1;1;3;0;118;23;81;29;0;70;100
14;2;1;3;0;153;26;74;32;0;56;100
15;2;1;3;0;111;26;41;31;1;0;0
15;2;1;3;0;111;20;48;26;1;0;0
15;2;1;3;0;90;20;44;24;0;0;0
15;2;1;3;0;97;20;48;26;0;0;0
15;2;1;3;0;97;22;48;26;0;0;0
15;2;1;3;0;90;22;48;26;1;0;0
15;2;1;3;0;90;26;44;32;1;0;0
15;2;1;3;0;90;22;41;28;0;0;0
15;1;1;3;0;97;26;48;40;1;0;0
16;2;1;3;0;208;62;79;66;0;190;80
16;2;1;3;0;208;62;71;80;1;247;130
16;2;1;3;0;208;56;65;74;0;247;100
16;2;1;3;0;165;56;65;74;1;152;130
16;2;1;3;0;179;62;65;70;1;247;80
16;2;1;3;0;179;56;71;62;1;152;100
16;2;1;3;0;179;74;65;78;0;152;80
16;2;1;3;0;208;74;71;80;0;152;130
16;2;1;3;0;179;62;71;80;0;190;100
17;2;0;1;0;132;23;61;26;0;90;20
17;2;0;1;0;132;23;57;31;1;117;32
17;2;0;1;0;132;21;54;28;0;117;25
17;2;0;1;0;102;21;54;28;1;72;32
17;2;0;1;0;112;23;54;28;1;117;20
17;2;0;1;0;112;21;57;24;1;72;25
17;2;0;1;0;112;28;54;30;0;72;20
17;2;0;1;0;132;28;57;31;0;72;32
17;2;0;1;0;112;23;57;31;0;90;25
18;2;0;3;0;186;24;95;27;0;110;32
18;2;0;3;0;186;24;89;32;1;143;52
18;2;0;3;0;186;22;84;30;0;143;40
18;2;0;3;0;154;22;84;30;1;88;52
18;2;0;3;0;165;24;84;28;1;143;32
18;2;0;3;0;165;22;89;25;1;88;40
18;2;0;3;0;165;29;84;30;0;88;32
18;2;0;3;0;186;29;89;32;0;88;52
18;2;0;3;0;165;24;89;32;0;110;40
19;3;1;1;0;212;26;121;27;1;1200;10
19;1;1;1;0;177;20;128;23;0;1560;13
19;3;1;1;0;159;20;124;22;0;1560;8
19;3;1;1;0;212;20;128;23;1;960;8
19;1;1;1;0;177;22;128;24;0;960;13
19;1;1;1;0;159;22;128;24;1;1560;10
19;2;1;1;0;159;26;124;28;1;1200;8
19;2;1;1;0;159;22;121;25;0;1200;13
19;1;1;1;0;177;26;128;31;1;1200;13
20;2;1;2;0;179;31;96;32;1;110;30
20;2;1;2;0;137;23;99;27;0;143;24
20;3;1;2;0;179;23;103;28;1;88;24
20;2;1;2;0;151;23;103;28;0;143;39
20;2;1;2;0;151;26;103;28;0;88;39
20;2;1;2;0;137;26;103;28;1;143;30
20;2;1;2;0;137;31;99;34;1;110;24
20;2;1;2;0;137;26;96;30;0;110;39
20;2;1;2;0;151;31;103;38;1;110;39
21;2;0;2;0;133;96;57;106;0;0;0
21;2;0;2;0;122;96;52;99;0;0;0
21;1;0;2;0;154;96;63;123;0;0;0
21;2;0;2;0;122;80;57;106;0;0;0
21;2;0;2;0;154;72;57;83;0;0;0
21;2;0;2;0;133;72;52;99;0;0;0
21;2;0;2;0;122;96;63;123;0;0;0
21;2;0;2;0;122;72;63;86;0;0;0
21;2;0;2;0;154;80;52;91;0;0;0
22;3;0;5;0;108;52;43;62;0;70;36
22;1;0;5;0;108;52;39;80;1;91;58
22;1;0;5;0;108;47;36;71;0;91;45
22;1;0;5;0;87;47;36;71;1;56;58
22;3;0;5;0;94;52;36;65;1;91;36
22;1;0;5;0;94;47;39;57;1;56;45
22;3;0;5;0;94;62;36;71;0;56;36
22;3;0;5;0;108;62;39;76;0;56;58
22;3;0;5;0;94;52;39;80;0;70;45
23;2;1;2;0;102;54;49;68;0;78;50
23;2;1;2;0;95;54;46;63;0;78;65
23;1;1;2;0;116;54;53;83;0;78;40
23;1;1;2;0;95;45;49;70;0;48;40
23;2;1;2;0;116;40;49;50;0;60;65
23;2;1;2;0;102;40;46;63;0;60;40
23;1;1;2;0;95;54;53;83;0;48;50
23;1;1;2;0;95;40;53;52;0;60;50
23;2;1;2;0;116;45;46;58;0;48;50
24;2;1;3;0;210;118;60;128;1;0;0
24;2;1;3;0;164;88;66;103;0;0;0
24;2;1;3;0;210;88;74;108;1;0;0
24;2;1;3;0;179;88;74;108;0;0;0
24;2;1;3;0;179;98;74;111;0;0;0
24;2;1;3;0;164;98;74;111;1;0;0
24;2;1;3;0;164;118;66;132;1;0;0
24;2;1;3;0;164;98;60;116;0;0;0
24;1;1;3;0;179;118;74;161;1;0;0
25;3;1;3;0;179;119;66;139;0;182;90
25;3;1;3;0;164;99;66;139;0;112;72
25;2;1;3;0;164;119;60;128;0;182;117
25;2;1;3;0;210;119;74;161;0;182;72
25;2;1;3;0;210;89;66;106;0;140;117
25;2;1;3;0;179;89;60;128;0;140;72
25;3;1;3;0;164;119;74;161;0;112;90
25;3;1;3;0;164;89;74;111;0;140;90
25;3;1;3;0;210;99;60;123;0;112;90
26;2;0;3;0;233;74;77;84;0;190;44
26;2;0;3;0;233;74;67;104;1;247;71
26;2;0;3;0;233;67;59;97;0;247;55
26;2;0;3;0;177;67;59;97;1;152;71
26;2;0;3;0;196;74;59;87;1;247;44
26;2;0;3;0;196;67;67;77;1;152;55
26;2;0;3;0;196;89;59;97;0;152;44
26;2;0;3;0;233;89;67;100;0;152;71
26;2;0;3;0;196;74;67;104;0;190;55
27;2;1;2;0;86;36;31;46;0;0;0
27;2;1;2;0;79;36;28;41;0;0;0
27;2;1;2;0;100;36;35;52;0;0;0
27;2;1;2;0;79;30;31;46;0;0;0
27;2;1;2;0;100;27;31;31;0;0;0
27;2;1;2;0;86;27;28;41;0;0;0
27;2;1;2;0;79;36;35;52;0;0;0
27;2;1;2;0;79;27;35;34;0;0;0
27;2;1;2;0;100;30;28;38;0;0;0
28;2;1;5;0;92;60;68;65;0;0;0
28;2;1;5;0;108;60;70;80;0;0;0
28;2;1;5;0;84;60;66;60;0;0;0
28;1;1;5;0;84;50;68;80;0;0;0
28;2;1;5;0;108;45;68;60;0;0;0
28;2;1;5;0;84;60;70;80;0;0;0
28;1;1;5;0;92;45;66;80;0;0;0
28;2;1;5;0;108;50;66;65;0;0;0
28;1;1;5;0;84;45;70;65;0;0;0
29;1;1;3;0;110;60;55;65;0;91;80
29;2;1;3;0;103;60;52;60;0;91;104
29;1;1;3;0;124;60;59;80;0;91;64
29;1;1;3;0;103;50;55;80;0;56;64
29;1;1;3;0;124;45;55;60;0;70;104
29;2;1;3;0;110;45;52;80;0;70;64
29;2;1;3;0;103;60;59;80;0;56;80
29;1;1;3;0;103;45;59;65;0;70;80
29;2;1;3;0;124;50;52;65;0;56;80
30;2;1;2;0;118;60;46;60;1;70;27
30;2;1;2;0;97;45;49;60;0;91;22
30;2;1;2;0;118;45;53;65;1;56;22
30;2;1;2;0;104;45;53;65;0;91;35
30;2;1;2;0;104;50;53;60;0;56;35
30;2;1;2;0;97;50;53;60;1;91;27
30;2;1;2;0;97;60;49;65;1;70;22
30;2;1;2;0;97;50;46;65;0;70;35
30;2;1;2;0;104;60;53;80;1;70;35
31;2;1;3;0;182;60;69;65;0;182;80
31;2;1;3;0;165;60;63;60;0;182;104
31;2;1;3;0;215;60;77;80;0;182;64
31;2;1;3;0;165;50;69;80;0;112;64
31;2;1;3;0;215;45;69;60;0;140;104
31;2;1;3;0;182;45;63;80;0;140;64
31;3;1;3;0;165;60;77;80;0;112;80
31;2;1;3;0;165;45;77;65;0;140;80
31;2;1;3;0;215;50;63;65;0;112;80
32;2;1;2;0;281;50;119;60;0;0;0
32;1;1;2;0;281;50;109;80;1;0;0
32;2;1;2;0;281;45;101;80;0;0;0
32;2;1;2;0;216;45;101;80;1;0;0
32;2;1;2;0;238;50;101;65;1;0;0
32;2;1;2;0;238;45;109;60;1;0;0
32;2;1;2;0;238;60;101;60;0;0;0
32;2;1;2;0;281;60;109;65;0;0;0
32;2;1;2;0;238;50;109;80;0;0;0
33;2;0;2;1;64;3120;40;3380;0;0;0
33;2;0;2;1;71;3120;42;4160;0;0;0
33;2;0;2;1;61;3120;38;3120;0;0;0
33;1;0;2;1;61;2600;40;4160;0;0;0
33;1;0;2;1;71;2340;40;3120;0;0;0
33;1;0;2;1;64;2340;38;4160;0;0;0
33;2;0;2;1;61;3120;42;4160;0;0;0
33;2;0;2;1;71;2600;38;3380;0;0;0
33;2;0;2;1;61;2340;42;3380;0;0;0
34;2;0;3;1;139;2600;81;3120;0;0;0
34;2;0;3;1;139;2600;77;4160;1;0;0
34;1;0;3;1;139;2340;74;4160;0;0;0
34;1;0;3;1;110;2340;74;4160;1;0;0
34;2;0;3;1;120;2600;74;3380;1;0;0
