"RespondentID" "choice" "avcycle" "avwalk" "avhsr" "avcar" "timecycle" "timewalk" "accesshsr" "waitingtimehsr" "transfer" "timehsr" "timecar" "parking" "vehind" "owncycle" "gender" "work" "visa" "age" "solo" "shared" "family" "child" "primary_caregiver" "LAT" "LONG" "DAUID" "mhi" "dwell_den" "lum" "st_den" "inter_den" "SF_P_ratio" "side_den" "Shelters_SD" "Shelters_D" "Shelters_A" "Shelters_SA"
"1" 566872636 3 0 1 1 0 1.82635091396167 21.31438721 3 15 0 5 11.5129254649702 0 0 0 1 0 1 21 0 1 0 0 0 43.26302 -79.900741 35250503 3.3902 941.397976 0.805636 14.37620617 39.22491567 0.230931 22.63322192 0 0 1 0
"2" 566873140 3 0 1 1 1 1.31552529035668 12.78863233 4 15 0 10 0.693147180559945 0 1 0 1 0 1 23 1 0 0 0 0 43.258845 -79.904759 35250675 4.577 1688.572472 0.28083 19.4975356 109.5290252 0.356169 39.64003191 0 0 1 0
"3" 566874266 3 0 0 1 1 11.5129254649702 0 3 2 0 15 1.38629436111989 0 0 1 1 1 1 20 0 0 1 0 0 43.25222 -79.93953 35250964 6.3081 534.6674559 0.455743 13.55660792 15.27621303 0.074477 8.22849688 0 0 0 0
"4" 566874842 2 1 1 1 0 1.76270089894964 20 10.66 10.23 0 8 11.5129254649702 0 0 1 1 1 1 20 0 1 0 0 0 43.257822 -79.919413 35250669 5.4911 892.1743564 0.47946 14.30782564 45.88325261 0.268249 37.4575743 0 0 1 0
"5" 566881170 2 1 1 1 0 1.76270089894964 20 6.21 10.23 0 5 11.5129254649702 0 0 1 0 0 1 19 0 1 0 0 0 43.255617 -79.920475 35250669 5.4911 892.1743564 0.47946 14.30782564 45.88325261 0.268249 37.4575743 0 1 0 0
"6" 566907438 2 0 1 1 0 11.5129254649702 10 7.14 10.23 0 3 11.5129254649702 0 0 0 1 0 0 19 0 1 0 0 0 43.257705 -79.9222 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 1 0 0
"7" 566910139 2 1 1 1 1 1.47501882649786 15 10.66 10.23 0 20 1.6094379124341 0 1 1 1 1 1 49 0 0 1 1 1 43.255966 -79.912596 35250671 6.3005 1197.891711 0.078636 15.39379834 82.14114587 0.281521 26.06792804 0 0 0 0
"8" 566916725 3 0 0 1 1 11.5129254649702 0 15 3 1 25 2.83321334405622 0 0 1 1 1 1 19 0 0 1 1 0 43.218472 -79.918446 35250123 9.1358 1368.925394 0.17913 10.10814511 11.40771161 0.346707 20.28181241 0 0 0 1
"9" 566917686 3 0 0 1 1 11.5129254649702 0 2 12 0 8 1.38629436111989 0 1 1 0 1 1 20 0 1 0 0 0 43.25222 -79.93953 35250964 6.3081 534.6674559 0.455743 13.55660792 15.27621303 0.074477 8.22849688 0 0 0 0
"10" 566920649 2 0 1 1 0 11.5129254649702 15 12.42 10.23 0 5 11.5129254649702 0 0 0 0 1 1 23 0 1 0 0 0 43.257878 -79.916677 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 0 0 0
"11" 566921396 2 0 1 1 0 1.25187527518365 12 31.06 10.23 0 5 11.5129254649702 0 0 0 0 0 1 25 0 1 0 0 0 43.252363 -79.922035 35250667 5.269 1027.133442 0.134958 16.50261063 102.7133442 0.231917 31.43903392 0 0 1 0
"12" 566923414 4 0 0 1 1 11.5129254649702 0 27.33 10.23 1 25 2.99573227355399 1 1 1 0 1 1 38 0 0 1 1 0 43.21334 -79.954584 35250909 11.7045 480.97358 0.211789 7.456544596 31.31920986 0.115661 11.32704127 0 1 0 0
"13" 566925472 2 0 1 1 0 1.25187527518365 12 1.49 10.23 0 2 11.5129254649702 0 0 0 0 0 1 20 0 1 0 0 0 43.257705 -79.9222 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 0 0 0
"14" 566926418 2 0 1 1 0 1.06955371838969 10 2.48 10.23 0 3 11.5129254649702 0 0 0 0 0 1 19 0 1 0 0 0 43.257705 -79.9222 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 0 1 0
"15" 566926630 3 0 0 1 1 11.5129254649702 0 10 10 1 25 2.30258509299405 0 0 1 1 0 1 18 0 0 1 1 0 43.251301 -79.903758 35250514 9.8737 182.6131143 0.262099 3.965774597 5.293133747 0.018357 1.697114084 0 0 1 0
"16" 566934082 2 0 1 1 0 1.47501882649786 15 12.42 10.23 0 5 11.5129254649702 0 0 0 0 0 1 20 0 1 0 0 0 43.257822 -79.919413 35250669 5.4911 892.1743564 0.47946 14.30782564 45.88325261 0.268249 37.4575743 0 0 0 0
"17" 566934436 4 0 0 1 1 11.5129254649702 0 1.37 10.23 0 40 2.99573227355399 1 0 0 0 1 1 21 0 0 1 1 0 43.242574 -79.819705 35250782 4.6939 2261.393946 0.462593 16.89354053 57.98446016 0.406746 28.48017412 0 0 0 0
"18" 566934743 3 0 1 1 0 2.46820480050691 47.20496894 10 15 0 17 11.5129254649702 0 0 0 0 0 1 19 0 0 1 1 0 43.265544 -79.944617 35250041 3.0296 1719.920501 0.405329 17.81761199 53.50863782 0.275771 18.80207266 0 1 0 0
