"dataset","metodo","covariable","alternativa","prob_base","prob_perturbada","cambio_abs","elasticidad"
"swissmetro","original","TRAIN_TT","1",0.132218365193033,0.131330730206067,-0.000887634986966451,-0.671340161913621
"swissmetro","original","TRAIN_TT","2",0.580269942756421,0.580865456328957,0.000595513572536066,0.102626989381396
"swissmetro","original","TRAIN_TT","3",0.287511692050546,0.287803813464976,0.000292121414430413,0.101603316493667
"swissmetro","original","TRAIN_CO","1",0.132218365193033,0.132415314890928,0.000196949697894355,0.148957898251742
"swissmetro","original","TRAIN_CO","2",0.580269942756421,0.580137809873126,-0.000132132883295166,-0.0227709335878235
"swissmetro","original","TRAIN_CO","3",0.287511692050546,0.287446875235947,-6.4816814599189e-05,-0.0225440621690592
"swissmetro","original","SM_TT","1",0.132218365193033,0.132531903395414,0.000313538202381253,0.237136650361317
"swissmetro","original","SM_TT","2",0.580269942756421,0.579303904662829,-0.000966038093592081,-0.166480808742767
"swissmetro","original","SM_TT","3",0.287511692050546,0.288164191941757,0.0006524998912108,0.226947254408036
"swissmetro","original","SM_CO","1",0.132218365193033,0.132046244649773,-0.000172120543260379,-0.130178998211852
"swissmetro","original","SM_CO","2",0.580269942756421,0.580800317652019,0.000530374895597929,0.0914014076066945
"swissmetro","original","SM_CO","3",0.287511692050546,0.287153437698208,-0.00035825435233755,-0.124605142066559
"swissmetro","original","CAR_TT","1",0.132218365193033,0.132435807608965,0.000217442415931579,0.164457044688249
"swissmetro","original","CAR_TT","2",0.580269942756421,0.581192486976464,0.000922544220043564,0.158985353551359
"swissmetro","original","CAR_TT","3",0.287511692050546,0.286371705414571,-0.00113998663597509,-0.396500965871911
"swissmetro","original","CAR_CO","1",0.132218365193033,0.132208382387624,-9.98280540945307e-06,-0.00755024114454796
"swissmetro","original","CAR_CO","2",0.580269942756421,0.580227587056962,-4.23556994588736e-05,-0.00729930956921083
"swissmetro","original","CAR_CO","3",0.287511692050546,0.287564030555414,5.23385048682989e-05,0.0182039570269363
"swissmetro","ROS","TRAIN_TT","1",0.332911643505815,0.33151107751829,-0.00140056598752503,-0.420702013536081
"swissmetro","ROS","TRAIN_TT","2",0.327593382286815,0.328290887503251,0.000697505216435967,0.212917981299539
"swissmetro","ROS","TRAIN_TT","3",0.33949497420737,0.340198034978459,0.000703060771089059,0.207090185276091
"swissmetro","ROS","TRAIN_CO","1",0.332911643505815,0.333329185895189,0.000417542389373471,0.125421383576864
"swissmetro","ROS","TRAIN_CO","2",0.327593382286815,0.327385447387807,-0.000207934899008166,-0.0634734735960311
"swissmetro","ROS","TRAIN_CO","3",0.33949497420737,0.339285366717005,-0.000209607490365304,-0.0617409700555014
"swissmetro","ROS","SM_TT","1",0.332911643505815,0.333277885565306,0.000366242059490596,0.110011790405942
"swissmetro","ROS","SM_TT","2",0.327593382286815,0.326874759869837,-0.000718622416977177,-0.219364143427051
"swissmetro","ROS","SM_TT","3",0.33949497420737,0.339847354564857,0.000352380357486581,0.103795456268328
"swissmetro","ROS","SM_CO","1",0.332911643505815,0.332640532996008,-0.000271110509807326,-0.0814361753624248
"swissmetro","ROS","SM_CO","2",0.327593382286815,0.328125377317695,0.000531995030880139,0.162394926041078
"swissmetro","ROS","SM_CO","3",0.33949497420737,0.339234089686297,-0.000260884521072813,-0.0768448845765415
"swissmetro","ROS","CAR_TT","1",0.332911643505815,0.333434269470616,0.000522625964800905,0.15698638812907
"swissmetro","ROS","CAR_TT","2",0.327593382286815,0.328092250767051,0.000498868480236558,0.152282832074974
"swissmetro","ROS","CAR_TT","3",0.33949497420737,0.338473479762333,-0.00102149444503746,-0.300886470388075
"swissmetro","ROS","CAR_CO","1",0.332911643505815,0.332879350959072,-3.22925467430291e-05,-0.00970003524147241
"swissmetro","ROS","CAR_CO","2",0.327593382286815,0.327562556907879,-3.08253789360613e-05,-0.00940964641009538
"swissmetro","ROS","CAR_CO","3",0.33949497420737,0.339558092133049,6.31179256790904e-05,0.0185917113578644
"swissmetro","SMOTE","TRAIN_TT","1",0.332870975509066,0.331357891537011,-0.0015130839720548,-0.454555693761166
"swissmetro","SMOTE","TRAIN_TT","2",0.328275648926169,0.329031466201663,0.00075581727549362,0.230238605259328
"swissmetro","SMOTE","TRAIN_TT","3",0.338853375564765,0.339610642261326,0.000757266696561121,0.223479165671285
"swissmetro","SMOTE","TRAIN_CO","1",0.332870975509066,0.333306016277916,0.000435040768849593,0.13069351215866
"swissmetro","SMOTE","TRAIN_CO","2",0.328275648926169,0.328058346588769,-0.000217302337400194,-0.0661950827333726
"swissmetro","SMOTE","TRAIN_CO","3",0.338853375564765,0.338635637133315,-0.000217738431449455,-0.0642574184443497
"swissmetro","SMOTE","SM_TT","1",0.332870975509066,0.333267852930883,0.000396877421816544,0.119228605380686
"swissmetro","SMOTE","SM_TT","2",0.328275648926169,0.327499256047954,-0.000776392878214793,-0.236506387468724
"swissmetro","SMOTE","SM_TT","3",0.338853375564765,0.339232891021163,0.000379515456398249,0.111999904314282
"swissmetro","SMOTE","SM_CO","1",0.332870975509066,0.332587651539431,-0.000283323969635207,-0.0851152519987405
"swissmetro","SMOTE","SM_CO","2",0.328275648926169,0.328829943924935,0.00055429499876547,0.168850476902152
"swissmetro","SMOTE","SM_CO","3",0.338853375564765,0.338582404535634,-0.000270971029130318,-0.0799670443532375
"swissmetro","SMOTE","CAR_TT","1",0.332870975509066,0.333433915622561,0.000562940113494781,0.169116611213659
