"dataset","metodo","repeticion","fold","n_train","n_sinteticos","accuracy","f1_macro","loglik_holdout","loglik_media","prob_media_observada","l1_market_share","n_valid","precision_1","recall_1","f1_1","precision_2","recall_2","f1_2","precision_3","recall_3","f1_3","beta_asc_train","se_asc_train","beta_asc_sm","se_asc_sm","beta_asc_car","se_asc_car","beta_b_time","se_b_time","beta_b_cost","se_b_cost","loglik_train","loglik_nula","rho2","convergio","vot"
"swissmetro","original",0,0,8568,0,0.567693744164332,0.254436813378254,-1989.82532020422,-0.928956732121483,0.448647670127709,0.00192235214139555,2142,NA,0,0,0.580318379160637,0.967041800643087,0.7253542357552,0.188405797101449,0.0211038961038961,0.037956204379562,-1.06123613360619,0.0426026530237423,0,NA,-0.385482339748941,0.0306908030783961,-0.00467231735746912,0.000344364339853983,0.000336822700437861,1.87165113568363e-05,-7874.09089939563,-9412.91008930837,0.163479643947795,TRUE,NA
"swissmetro","original",0,1,8568,0,0.580765639589169,0.256193437612986,-1967.98823798213,-0.918762015864674,0.448138130606227,0.00167357275620228,2142,NA,0,0,0.582978723404255,0.99195494770716,0.734365693865396,0.407407407407407,0.0178571428571429,0.0342146189735614,-1.12656490903401,0.0451544703558085,0,NA,-0.412322655476833,0.03119587489292,-0.00382949752076518,0.000386387759555149,0.000335757924234019,1.88816431081028e-05,-7894.54100290712,-9412.91008930837,0.1613070848436,TRUE,NA
"swissmetro","original",0,2,8568,0,0.572829131652661,0.2464505712592,-1978.37527182452,-0.923611238013314,0.448435088608465,0.00349472785001714,2142,NA,0,0,0.580094786729858,0.984714400643604,0.730092454518342,0.09375,0.00487012987012987,0.00925925925925926,-1.10212712196093,0.0453431860774427,0,NA,-0.399769202561701,0.0314169993673567,-0.0041902393773185,0.000393701688743979,0.00033861338358323,1.90347897052601e-05,-7883.70194120721,-9412.91008930837,0.162458595013895,TRUE,NA
"swissmetro","original",0,3,8568,0,0.574696545284781,0.248518494817321,-1961.71519505907,-0.915833424397324,0.450992817291002,0.000557632316233153,2142,NA,0,0,0.579395085066163,0.986323411102172,0.729979160464424,0.192307692307692,0.00811688311688312,0.0155763239875389,-1.12730791064112,0.0449560843202076,0,NA,-0.41578654029457,0.0311296536439598,-0.00384569233676846,0.000385372442718836,0.000327518415436312,1.81259968320922e-05,-7900.70083515061,-9412.91008930837,0.160652682306548,TRUE,NA
"swissmetro","original",0,4,8568,0,0.579831932773109,0.253771114226355,-1969.40148699787,-0.919421795984065,0.44836260585447,0.00172135011819374,2142,NA,0,0,0.581329561527581,0.99195494770716,0.733055885850178,0.428571428571429,0.0146103896103896,0.0282574568288854,-1.11346376224016,0.0448111457535371,0,NA,-0.410513000160409,0.0310415664149958,-0.00401948029716522,0.000381842406827072,0.000327744151254667,1.88363703543111e-05,-7892.67458118251,-9412.91008930837,0.161505368021374,TRUE,NA
"swissmetro","original",1,0,8568,0,0.57516339869281,0.255542962230742,-1982.68412014984,-0.925622838538674,0.448127837919174,0.000393722272623437,2142,NA,0,0,0.581783500238436,0.980707395498392,0.730320263394193,0.266666666666667,0.0194805194805195,0.0363086232980333,-1.09212399740374,0.0442631047414484,0,NA,-0.394368906258168,0.0309341714791841,-0.00426652675564763,0.000375906556700014,0.000347694040821077,1.88011703286056e-05,-7879.64512384622,-9412.91008930837,0.162889579408997,TRUE,NA
"swissmetro","original",1,1,8568,0,0.579365079365079,0.251692917308059,-1957.17165763852,-0.913712258468028,0.451016981144267,0.00513847446512156,2142,NA,0,0,0.580979284369115,0.992759452936444,0.732996732996733,0.388888888888889,0.0113636363636364,0.0220820189274448,-1.13857412674429,0.0448449512401443,0,NA,-0.424476621229496,0.0309418299119708,-0.00372186267917899,0.000379772916074331,0.000321619495440988,1.89073724502692e-05,-7905.75731473982,-9412.91008930837,0.160115496724062,TRUE,NA
"swissmetro","original",1,2,8568,0,0.572362278244631,0.248234872228351,-1979.45487734646,-0.924115255530562,0.44780008749845,0.00199326243196898,2142,NA,0,0,0.580047505938242,0.982300884955752,0.729390681003584,0.135135135135135,0.00811688311688312,0.0153139356814701,-1.09659141542118,0.0439958076762219,0,NA,-0.399304162406724,0.0310949111071051,-0.00422630258707573,0.000367586860595506,0.000335182876699314,1.86764157367161e-05,-7882.64051092252,-9412.91008930837,0.162571358258696,TRUE,NA
"swissmetro","original",1,3,8568,0,0.567226890756303,0.250561229540875,-1979.15205355646,-0.923973881212166,0.448457672148982,0.00377664029866356,2142,NA,0,0,0.578694817658349,0.970233306516492,0.72497745716862,0.155172413793103,0.0146103896103896,0.0267062314540059,-1.09516371410131,0.0453166246376438,0,NA,-0.395004144568923,0.0313187015627939,-0.00425673508948241,0.000396145096946669,0.000342795728077652,1.8777572832503e-05,-7883.05694500219,-9412.91008930837,0.162527117521696,TRUE,NA
"swissmetro","original",1,4,8568,0,0.581699346405229,0.255695320487078,-1966.68108263514,-0.918151765936105,0.449308117474906,0.00243386742493862,2142,NA,0,0,0.584120982986768,0.994368463395012,0.735933313486157,0.384615384615385,0.0162337662337662,0.0311526479750779,-1.10875808706009,0.0447846488539252,0,NA,-0.410719211522367,0.0312435782798933,-0.00407804804956717,0.000379408642921099,0.000319785623655396,1.8436116375942e-05,-7895.5431363519,-9412.91008930837,0.161200621121407,TRUE,NA
"swissmetro","original",2,0,8568,0,0.57609710550887,0.251859666418665,-1965.01083718154,-0.917372006153845,0.449369752521035,0.00351532658392645,2142,NA,0,0,0.58076740881099,0.985530546623794,0.730849478390462,0.258064516129032,0.012987012987013,0.0247295208655332,-1.11509742037796,0.0454892550330296,0,NA,-0.409077658767385,0.0314374245054512,-0.00399653956094801,0.000394980906268443,0.000326774288892009,1.84831585968051e-05,-7897.10033962351,-9412.91008930837,0.161035188406461,TRUE,NA
"swissmetro","original",2,1,8568,0,0.57609710550887,0.249828300109094,-1965.06492859469,-0.917397258914422,0.449665222351566,0.00126123123649682,2142,NA,0,0,0.579792256846081,0.98793242156074,0.730734900327283,0.25,0.00974025974025974,0.01875,-1.11617483957863,0.0442001408943296,0,NA,-0.412496077441153,0.0310443520657509,-0.00400567522696147,0.000373494938063505,0.000323238158293003,1.89833683851861e-05,-7897.09035487049,-9412.91008930837,0.16103624915738,TRUE,NA
"swissmetro","original",2,2,8568,0,0.57563025210084,0.25500647721199,-1995.24115499126,-0.931485133049139,0.446498292343039,0.000484560624810976,2142,NA,0,0,0.58273724368145,0.983105390185036,0.731736526946108,0.244444444444444,0.0178571428571429,0.0332829046898638,-1.08968590386871,0.0446800654127979,0,NA,-0.388089672931347,0.0309630849459899,-0.00425983785854644,0.000382296449299998,0.000366437290838087,1.87463159083032e-05,-7868.02594501305,-9412.91008930837,0.164123966938776,TRUE,NA
"swissmetro","original",2,3,8568,0,0.57889822595705,0.253897960470564,-1968.23508421387,-0.91887725686922,0.449316311187346,0.00095842548591285,2142,NA,0,0,0.582859848484849,0.990345937248592,0.733830104321908,0.3,0.0146103896103896,0.0278637770897833,-1.11249065992275,0.0453383752865251,0,NA,-0.410717785990791,0.0313008217081923,-0.00404380690377272,0.000388473801771963,0.000324141862711323,1.85946511627693e-05,-7893.87775786893,-9412.91008930837,0.161377546053991,TRUE,NA
