"dataset","metodo","repeticion","fold","n_train","n_sinteticos","accuracy","f1_macro","loglik_holdout","loglik_media","prob_media_observada","l1_market_share","n_valid","precision_1","recall_1","f1_1","precision_2","recall_2","f1_2","precision_3","recall_3","f1_3","precision_4","recall_4","f1_4","beta_asc_cycling","se_asc_cycling","beta_asc_walking","se_asc_walking","beta_asc_hsr","se_asc_hsr","beta_asc_car","se_asc_car","beta_b_tc","se_b_tc","beta_b_tw","se_b_tw","beta_b_lsw","se_b_lsw","beta_b_lshw","se_b_lshw","beta_b_sdw","se_b_sdw","beta_b_swd","se_b_swd","beta_b_th","se_b_th","beta_b_lsh","se_b_lsh","beta_b_lshh","se_b_lshh","beta_b_sh","se_b_sh","beta_b_at","se_b_at","beta_b_sdh","se_b_sdh","beta_b_swdh","se_b_swdh","beta_b_ttc","se_b_ttc","beta_b_lsc","se_b_lsc","beta_b_lshc","se_b_lshc","beta_b_sdc","se_b_sdc","beta_b_swdc","se_b_swdc","beta_b_parking","se_b_parking","loglik_train","loglik_nula","rho2","convergio","vot"
"whalen","original",0,0,1100,0,0.800724637681159,0.738113453969267,-144.078520045984,-0.522023623355015,0.714782983492896,0.0309795741461769,276,0.857142857142857,0.6,0.705882352941176,0.846625766871166,0.971830985915493,0.904918032786885,0.714285714285714,0.514705882352941,0.598290598290598,0.736842105263158,0.75,0.743362831858407,0,NA,15.0638406926048,4.07940281156083,13.9744267962853,3.8210191709029,11.135097038616,3.85738308876568,5.17476695158807,1.10988913336281,-0.0444886792224519,0.0135777931402574,-2.35298042907908,1.58811945697497,-3.42904202647723,1.71067540607834,0.1071290930579,0.109373368210923,-0.065479521441508,0.0450940489697157,-0.0184115748473662,0.00785473754204396,-2.22153908098527,1.46641476881905,-4.86920120905113,1.56033033973229,0.527350195214171,0.176583206955958,-0.0777956273926517,0.0150185987874295,0.304175913597315,0.115618455227035,-0.156379687371254,0.0465057135140541,0.42509282617639,0.236310271491891,-2.05975711540454,1.47123684915653,-5.25494035898296,1.58154679250186,0.342083502146147,0.121023307764264,-0.162974152077606,0.0495267673371534,2.37206581911713,0.402095593407991,-510.894071798932,-950.500763412105,0.462500093145716,TRUE,NA
"whalen","original",0,1,1101,0,0.789090909090909,0.663040211863555,-129.156659906581,-0.469660581478475,0.71710255972936,0.0292021879861817,275,0.6,0.333333333333333,0.428571428571429,0.837349397590361,0.972027972027972,0.899676375404531,0.6875,0.492537313432836,0.573913043478261,0.75,0.75,0.75,0,NA,14.3612254360866,4.05071722624595,13.4999295497795,3.7980172251924,10.7797039843026,3.84022304564915,5.27516331074807,1.23684529871667,-0.0283186604968368,0.0138037929284301,-2.05016550401096,1.36867032556443,-2.69715385743204,1.53144451725609,0.223923249834949,0.109885405578072,-0.125581563378414,0.0447915598874961,-0.0148792812657689,0.00768175279860356,-2.03815153297876,1.23525953052183,-4.24788271063546,1.36447211389678,0.399519726790214,0.170836415956269,-0.0785392531265407,0.0149759142297472,0.398550732656518,0.115823622643937,-0.195862042524376,0.0455680079752935,0.411922976423318,0.23980763513889,-2.10567577394518,1.2421757573522,-4.57044702803202,1.39025024073869,0.412416904640634,0.121466348156937,-0.186259885126122,0.0486719964099738,2.41971230380968,0.437951826855833,-526.638012841321,-942.862593392567,0.441447760753351,TRUE,NA
"whalen","original",0,2,1101,0,0.810909090909091,0.721488367787494,-127.037365787245,-0.461954057408162,0.707781161426711,0.0528497044138374,275,0.625,0.555555555555556,0.588235294117647,0.878980891719745,0.971830985915493,0.923076923076923,0.683333333333333,0.611940298507463,0.645669291338583,0.78,0.684210526315789,0.728971962616823,0,NA,13.5857906971003,3.32638868748682,12.7263073428553,3.12239289200395,10.4032275638574,3.17132545384866,4.65217968927129,1.02922010591148,-0.0506468330397047,0.0123439416840973,-2.7988623383382,1.23073550855881,-3.00061011340719,1.26872989244363,0.170787052946153,0.0972135825413722,-0.0923137510200995,0.0401519288195319,-0.025381010793284,0.00767316184356767,-2.67272007555534,1.13162128289331,-4.15348310266734,1.1392637811128,0.419894430309485,0.170474500148744,-0.0795732917616522,0.0145465736088926,0.308089472055491,0.101702223955818,-0.16522211972399,0.0416297757809595,0.213284536839783,0.218232094675841,-2.41222593918859,1.14831194348946,-4.58759552997106,1.17270576544323,0.313722841242818,0.107679823437001,-0.165226359882535,0.0446674591884992,2.32676288815192,0.403320592179881,-528.332984355595,-955.588359747338,0.447112369079831,TRUE,NA
"whalen","original",0,3,1101,0,0.8,0.704138544382447,-137.989337767275,-0.50177941006282,0.705954815196305,0.0454375727284126,275,0.8,0.4,0.533333333333333,0.831325301204819,0.971830985915493,0.896103896103896,0.678571428571429,0.567164179104478,0.617886178861789,0.833333333333333,0.714285714285714,0.769230769230769,0,NA,15.2985407943161,3.80176580216656,14.4017916502771,3.58487612617021,12.1173691670821,3.6558942333008,5.45262986820524,1.15953836318616,-0.0465771353374085,0.0129250751374802,-1.7627395898816,1.37566914446014,-3.42901034910514,1.52699496809827,0.210509092859997,0.112682018691215,-0.105604139760534,0.0435353786851129,-0.0164387073426965,0.00756279496153892,-1.34134755339519,1.27112693647855,-4.56478905281068,1.38753671902481,0.461233615816758,0.173787107468217,-0.0758270930724699,0.0139131133891906,0.328855492031935,0.118317144623181,-0.172759976923172,0.045282893220693,0.320615242333376,0.237735599309202,-1.25206696311382,1.28886035616863,-4.96524921927919,1.4223237994156,0.321112253211608,0.12449364848142,-0.163940791455013,0.0485224563466586,2.29612567119398,0.391250054561695,-517.181079001774,-956.686972036006,0.459404074562532,TRUE,NA
"whalen","original",0,4,1101,0,0.796363636363636,0.688678219406305,-140.573837589588,-0.511177591234865,0.722433383770316,0.0111261691520456,275,0.555555555555556,0.5,0.526315789473684,0.864197530864197,0.985915492957746,0.921052631578947,0.703703703703704,0.567164179104478,0.628099173553719,0.72,0.642857142857143,0.679245283018868,0,NA,16.2126140464538,3.41906845602353,15.2599383349891,3.24761671176407,12.4613701500964,3.3315009696761,5.28865730485342,1.19522274742492,-0.0471493504027853,0.0124506036740841,-3.67551662439347,1.34758114923615,-4.21060614866095,1.25080912681591,0.160932108453018,0.107410716692838,-0.0952487210513939,0.045541719412054,-0.01844421136278,0.00780089207189152,-3.46445047837167,1.2636381155986,-5.49471146753276,1.14220457422622,0.333287875906138,0.175931379222326,-0.104897927457003,0.0155996318781016,0.315295230392974,0.113259021081105,-0.164625859694486,0.0462746279532924,0.291374152403702,0.245868363494376,-3.58604695464836,1.27647544360767,-5.64167804066227,1.17539694216232,0.320983269329063,0.119279192309073,-0.152798806140812,0.0490164508443991,2.42670018199159,0.392966009869973,-515.939596405388,-954.437631457531,0.459430790027116,TRUE,NA
"whalen","original",1,0,1100,0,0.786231884057971,0.726937536148062,-145.230326312776,-0.526196834466578,0.7088947301693,0.0655679761805199,276,1,0.6,0.75,0.829411764705882,0.992957746478873,0.903846153846154,0.630769230769231,0.602941176470588,0.616541353383459,0.828571428571429,0.517857142857143,0.637362637362637,0,NA,14.4309904900397,3.78691691964652,13.7434767790108,3.56354153765584,11.532181084888,3.61036191068881,5.34533719716034,1.11175541635624,-0.0363094053805848,0.0130377192342153,-2.48576412237341,1.31878441911826,-3.04540967131135,1.49231959276633,0.250096902567227,0.106155263934373,-0.116492738036819,0.0440042214864877,-0.0191310479690613,0.0073029647763842,-2.18248628164465,1.21302806843189,-4.44852074584344,1.3625242909956,0.335485260203411,0.178389439264119,-0.087252201106897,0.0143689790927841,0.396396858316242,0.113392304205898,-0.186128828628641,0.0453336048056963,0.142272358661498,0.215634761210698,-2.381260658372,1.22313188336446,-5.06494762672524,1.3816689864975,0.402034073031472,0.119224575141605,-0.17740591606123,0.0482527513637782,2.6997990580106,0.402998332826287,-510.213204074309,-956.045940856585,0.466329825513222,TRUE,NA
"whalen","original",1,1,1101,0,0.825454545454545,0.740294048082809,-120.593104707371,-0.438520380754077,0.725724815565137,0.0169354305538539,275,0.625,0.555555555555556,0.588235294117647,0.867924528301887,0.965034965034965,0.913907284768212,0.75,0.582089552238806,0.655462184873949,0.803571428571429,0.803571428571429,0.803571428571429,0,NA,13.6201323413305,3.42646105574309,12.8444658092006,3.19947867172146,10.3070384084307,3.25708478852487,4.69022402220891,1.03356048458508,-0.0457547769170193,0.0128715720782535,-2.32068104097993,1.29188398528296,-2.79288055111753,1.29668301628686,0.0966859404879976,0.0963156359501574,-0.0621793393318349,0.0381889934202174,-0.0225161844696668,0.00750240884588806,-2.17649258686251,1.20331572568457,-4.21338103621781,1.18302539136165,0.385653182636939,0.171161748356024,-0.0759513406041902,0.0147081506338084,0.257382133501668,0.10169870638286,-0.143366894692964,0.0398483117475851,0.242104354813411,0.231139356505816,-2.07151119604236,1.22170044195215,-4.47642606475355,1.21963785197265,0.280737255264825,0.107387026695756,-0.140573217949023,0.042899890556983,2.17320589963148,0.389881780197507,-533.886209876329,-957.497902252222,0.442415269401088,TRUE,NA
"whalen","original",1,2,1101,0,0.785454545454545,0.640940720995176,-138.037090522878,-0.50195305644683,0.695456324804813,0.0280701930662547,275,0.333333333333333,0.333333333333333,0.333333333333333,0.857142857142857,0.971830985915493,0.910891089108911,0.655172413793103,0.567164179104478,0.608,0.787234042553192,0.649122807017544,0.711538461538461,0,NA,15.1124035763199,3.97462968651894,14.3860097101612,3.69077377977972,11.841111527568,3.74708291292387,5.31466045187279,1.23340662230101,-0.0469879035157402,0.013961221937725,-2.87993579977597,1.42691597630578,-3.13811665405572,1.45065347855426,0.200871606616181,0.110656223231479,-0.113379922618113,0.047210912886718,-0.0186530669681068,0.00784703520526321,-3.13368503807959,1.2727193210063,-4.52370644757955,1.25782994375791,0.412995420136065,0.173100822590717,-0.0820311960594815,0.0154009212506365,0.350182829623792,0.114848105581286,-0.188981108669258,0.0481274518881161,0.332664096262431,0.253429861371447,-2.82872474976207,1.28806023789088,-4.63442974409049,1.29236943954614,0.347066679162367,0.120676971450615,-0.183880932141459,0.0511696393792571,2.64760038990571,0.418600616971946,-517.315773390502,-951.612926734152,0.456380048171601,TRUE,NA
"whalen","original",1,3,1101,0,0.796363636363636,0.693896198830409,-148.20964028208,-0.53894414648029,0.709896446645,0.0434832117519253,275,0.625,0.5,0.555555555555556,0.858024691358025,0.97887323943662,0.914473684210526,0.731707317073171,0.447761194029851,0.555555555555556,0.703125,0.803571428571429,0.75,0,NA,14.4375173780003,4.05339447545426,13.0663736770615,3.80887021001787,10.1172797466086,3.86127023964698,5.20029034118784,1.15681530656657,-0.0434655348787267,0.0132554640975404,-1.99499193648365,1.64629008651115,-3.30708418211325,1.75515976899522,0.250570226658174,0.112850741642204,-0.119287199300278,0.0459127191019259,-0.0201079905629671,0.00840145429331542,-1.77369974847624,1.46864151869264,-4.76426375471407,1.55532750472661,0.579986632720765,0.175266421789924,-0.0884188541346399,0.0151494987887384,0.455361398348128,0.117550645908188,-0.199261416655606,0.0464543522679655,0.489887501623563,0.243418692285475,-1.90592057318972,1.48359431987942,-5.01538408249304,1.58288743177151,0.475298324986877,0.124485218126607,-0.197704781025874,0.0498803407690043,1.89572338521951,0.397027622140604,-509.448249868961,-945.465283078012,0.461166624531759,TRUE,NA
"whalen","original",1,4,1101,0,0.814545454545455,0.718642361884576,-127.835719238926,-0.464857160868823,0.723176161891622,0.0249162057512253,275,0.625,0.5,0.555555555555556,0.858024691358025,0.97887323943662,0.914473684210526,0.770833333333333,0.552238805970149,0.643478260869565,0.754385964912281,0.767857142857143,0.761061946902655,0,NA,17.1610919298748,3.46794188066516,16.0548829494697,3.33189607914205,13.4158191516601,3.3981883066092,5.44473464732806,1.2132004815377,-0.0456879932997842,0.0120273994001334,-3.25744489816109,1.31840086171931,-4.544557411079,1.33552522919007,0.100406282261926,0.103487444440861,-0.0816918148191416,0.040420646643798,-0.0143631721113371,0.00763678921463742,-2.78108268829278,1.26175549758992,-5.47131117367895,1.25057041257031,0.42251530326192,0.169466403858557,-0.0786541566821874,0.0147956881794649,0.217875238799937,0.108508293698109,-0.143493977483203,0.0413562917130998,0.439150287655362,0.238870036066501,-2.55440944499377,1.27135533021975,-5.94802664097082,1.28282693986793,0.223525042646974,0.114506327623735,-0.136898470646381,0.0442783208558968,2.39275150845243,0.437233498610549,-527.533461972056,-949.454267124576,0.444382441326329,TRUE,NA
