modo_elegido,atributo,col,media_elegido,media_no_elegido,gap,fuente
1,0,TVIA1,895.344,799.5147,95.8293,real
1,1,CTOT1_w,14.6358,2.2232,12.4126,real
1,2,TCAM1,232.856,215.36,17.496,real
2,0,TVIA2,881.9024,695.0813,186.8211,real
2,1,CTOT2_w,4.2722,5.0892,-0.817,real
2,2,TCAM2,128.2683,185.9024,-57.6341,real
4,0,TVIA4,591.8306,664.5296,-72.6989,real
4,1,CTOT4_w,3.7667,5.2021,-1.4354,real
4,2,TCAM4,595.2903,250.4355,344.8548,real
5,0,TVIA5,1448.7037,297.5309,1151.1728,real
5,1,CTOT5_w,8.1279,3.979,4.149,real
5,2,TCAM5,360.4722,162.0216,198.4506,real
2,0,TVIA2,924.2537,744.6269,179.6269,ROS
2,1,CTOT2_w,4.9832,4.5345,0.4487,ROS
2,2,TCAM2,152.2836,182.1542,-29.8706,ROS
4,0,TVIA4,840.0,1158.6667,-318.6667,ROS
4,1,CTOT4_w,4.5625,18.2501,-13.6876,ROS
4,2,TCAM4,1001.0,225.3333,775.6667,ROS
5,0,TVIA5,1391.0,318.7857,1072.2143,ROS
5,1,CTOT5_w,8.6942,3.8707,4.8235,ROS
5,2,TCAM5,359.7143,177.5,182.2143,ROS
2,0,TVIA2,977.6716,781.6517,196.0199,SMOTE
2,1,CTOT2_w,4.4304,5.3726,-0.9422,SMOTE
2,2,TCAM2,147.9254,210.7811,-62.8557,SMOTE
4,0,TVIA4,605.0,455.6667,149.3333,SMOTE
4,1,CTOT4_w,6.9774,3.2335,3.7439,SMOTE
4,2,TCAM4,176.0,27.3333,148.6667,SMOTE
5,0,TVIA5,1367.0,280.0714,1086.9286,SMOTE
5,1,CTOT5_w,6.2972,3.2145,3.0827,SMOTE
5,2,TCAM5,365.2857,94.9048,270.381,SMOTE
2,0,TVIA2,892.381,657.4224,234.9586,CVAE
2,1,CTOT2_w,4.3451,3.7649,0.5802,CVAE
2,2,TCAM2,141.1567,159.6577,-18.5009,CVAE
4,0,TVIA4,650.9073,666.4543,-15.547,CVAE
4,1,CTOT4_w,4.1396,5.4751,-1.3356,CVAE
4,2,TCAM4,691.2366,251.7961,439.4405,CVAE
5,0,TVIA5,1455.4182,118.2052,1337.213,CVAE
5,1,CTOT5_w,7.9929,0.9447,7.0481,CVAE
5,2,TCAM5,340.254,53.1691,287.0848,CVAE
