modo_elegido,atributo,col,media_elegido,media_no_elegido,gap,fuente
1,0,TVIA1,642.9811,531.1415,111.8396,real
1,1,CTOT1_w,27.6351,4.6826,22.9525,real
1,2,TCAM1,250.3585,294.7264,-44.3679,real
4,0,TVIA4,562.8919,524.9189,37.973,real
4,1,CTOT4_w,7.7484,13.2453,-5.4969,real
4,2,TCAM4,816.9514,242.9486,574.0027,real
5,0,TVIA5,972.9608,118.6672,854.2937,real
5,1,CTOT5_w,20.5851,5.1305,15.4546,real
5,2,TCAM5,371.1837,97.363,273.8208,real
1,0,TVIA1,623.2568,507.9527,115.3041,ROS
1,1,CTOT1_w,23.8673,4.2359,19.6313,ROS
1,2,TCAM1,252.0541,305.9054,-53.8514,ROS
4,0,TVIA4,575.8376,513.6667,62.1709,ROS
4,1,CTOT4_w,8.4656,12.9583,-4.4927,ROS
4,2,TCAM4,851.9915,234.906,617.0855,ROS
1,0,TVIA1,629.2523,504.4099,124.8423,SMOTE
1,1,CTOT1_w,25.5453,4.4231,21.1222,SMOTE
1,2,TCAM1,247.5991,301.4234,-53.8243,SMOTE
4,0,TVIA4,579.7436,510.8248,68.9188,SMOTE
4,1,CTOT4_w,7.3989,11.2168,-3.818,SMOTE
4,2,TCAM4,794.8547,253.2479,541.6068,SMOTE
1,0,TVIA1,355.1514,392.2972,-37.1458,CVAE
1,1,CTOT1_w,27.983,9.0423,18.9407,CVAE
1,2,TCAM1,184.8906,183.4649,1.4257,CVAE
4,0,TVIA4,544.0659,361.6243,182.4415,CVAE
4,1,CTOT4_w,7.7961,9.8575,-2.0614,CVAE
4,2,TCAM4,865.3258,159.3356,705.9903,CVAE
