modo_elegido,atributo,col,media_elegido,media_no_elegido,gap,fuente
1,0,TRAIN_CO,1305.7291,937.082,368.6471,real
1,1,TRAIN_TT,129.4802,67.6128,61.8674,real
2,0,SM_CO,631.3398,293.226,338.1137,real
2,1,SM_TT,82.5132,147.7513,-65.2381,real
3,0,CAR_CO,89.6201,182.307,-92.6869,real
3,1,CAR_TT,137.7354,146.5093,-8.7739,real
1,0,TRAIN_CO,1321.3047,941.0146,380.2901,ROS
1,1,TRAIN_TT,129.9156,67.5326,62.3831,ROS
3,0,CAR_CO,90.4677,209.7867,-119.319,ROS
3,1,CAR_TT,136.5586,147.5181,-10.9595,ROS
1,0,TRAIN_CO,1315.2786,936.6236,378.6551,SMOTE
1,1,TRAIN_TT,127.4807,65.1017,62.379,SMOTE
3,0,CAR_CO,88.8102,180.6184,-91.8082,SMOTE
3,1,CAR_TT,136.1667,146.6461,-10.4795,SMOTE
1,0,TRAIN_CO,1257.7032,886.7837,370.9195,CVAE
1,1,TRAIN_TT,129.7133,66.1897,63.5236,CVAE
3,0,CAR_CO,88.0733,169.864,-81.7907,CVAE
3,1,CAR_TT,134.7615,145.1456,-10.3842,CVAE
