encoder_dim1,encoder_dim2,decoder_dim,activation,epochs,batch_size,kl_warmup_epochs,iteracion,seed,neg_elbo_media,neg_elbo_std
13,6,13,relu,120,16,0,7,7007,6.446090120739408,0.1737004203912509
14,5,9,relu,120,16,20,2,7002,6.5873917375292095,0.2998961086831997
13,14,13,relu,120,64,10,9,7009,6.738391266928778,0.16700751456996596
13,7,5,relu,100,32,20,1,7001,6.745156744548252,0.19061758836497872
12,7,14,relu,100,64,10,4,7004,6.765101236767239,0.052621651920120256
6,9,13,relu,100,64,5,3,7003,6.849572319454618,0.21891589162623346
12,11,8,relu,120,64,0,6,7006,6.871531821054125,0.280306788275459
14,11,11,relu,120,128,20,0,7000,7.473232641674224,0.1144810321966667
12,8,9,relu,100,128,20,12,7012,8.125542966146318,0.2733580694540706
5,6,14,relu,120,512,0,11,7011,8.594585830446274,0.1775132695963017
6,10,14,relu,120,256,10,14,7014,8.627323232378277,0.16584800761005528
10,10,10,relu,120,256,20,5,7005,8.816650879572308,0.36662206278578285
9,5,6,relu,120,512,5,8,7008,9.198758420490083,0.04923232955239229
11,6,10,relu,100,512,20,13,7013,9.276364128173345,0.23553473904791813
7,9,8,relu,100,512,0,10,7010,9.277607348608592,0.24547603520371
