encoder_dim1,encoder_dim2,decoder_dim,activation,epochs,batch_size,kl_warmup_epochs,iteracion,seed,neg_elbo_media,neg_elbo_std
13,14,13,relu,120,64,10,9,7009,5.007049375370935,0.19544095280575485
13,6,13,relu,120,16,0,7,7007,5.008056659169933,0.1397566404172242
14,5,9,relu,120,16,20,2,7002,5.014724772544893,0.29123498842005935
13,7,5,relu,100,32,20,1,7001,5.127016474354283,0.12330560531347869
6,9,13,relu,100,64,5,3,7003,5.192169575251521,0.21720117171087547
12,7,14,relu,100,64,10,4,7004,5.196055196314638,0.30860857568880373
12,11,8,relu,120,64,0,6,7006,5.205266409653883,0.2076907245462878
14,11,11,relu,120,128,20,0,7000,5.537133456483961,0.23507248607610357
12,8,9,relu,100,128,20,12,7012,5.805478460026653,0.20847968492101246
6,10,14,relu,120,256,10,14,7014,6.06363278433175,0.16930927970670037
10,10,10,relu,120,256,20,5,7005,6.179236334770192,0.17214464212857278
5,6,14,relu,120,512,0,11,7011,7.098907102857316,0.21525572034304746
9,5,6,relu,120,512,5,8,7008,7.451755725033136,0.36191091528723096
7,9,8,relu,100,512,0,10,7010,7.465510427809423,0.24496191153930216
11,6,10,relu,100,512,20,13,7013,7.493219268897247,0.17335229969013025
