encoder_dim1,encoder_dim2,decoder_dim,activation,epochs,batch_size,kl_warmup_epochs,iteracion,seed,neg_elbo_media,neg_elbo_std
14,5,9,relu,120,16,20,2,7002,2.007019955093228,0.015329622065586577
12,7,14,relu,100,64,10,4,7004,2.007088632165508,0.018375763923347194
13,14,13,relu,120,64,10,9,7009,2.007999113115482,0.01949239211371306
13,6,13,relu,120,16,0,7,7007,2.008741001044073,0.01937261152725702
12,11,8,relu,120,64,0,6,7006,2.0094933614247346,0.02979867077181738
5,6,14,relu,120,512,0,11,7011,2.0121454370663074,0.010566154007519193
6,9,13,relu,100,64,5,3,7003,2.0123230086173254,0.02902864131891657
10,10,10,relu,120,256,20,5,7005,2.012398853120179,0.024351342841716823
13,7,5,relu,100,32,20,1,7001,2.0126234148672038,0.006253402420606602
6,10,14,relu,120,256,10,14,7014,2.014699185298961,0.019917477466304356
14,11,11,relu,120,128,20,0,7000,2.015584052359915,0.013638855819508574
12,8,9,relu,100,128,20,12,7012,2.0161235061535976,0.010569227739792613
11,6,10,relu,100,512,20,13,7013,2.0163603605510994,0.021083919768969613
9,5,6,relu,120,512,5,8,7008,2.021319797187242,0.015239113186124467
7,9,8,relu,100,512,0,10,7010,2.024433866080674,0.03207834652380316
