encoder_dim1,encoder_dim2,decoder_dim,activation,epochs,batch_size,kl_warmup_epochs,iteracion,seed,neg_elbo_media,neg_elbo_std
13,6,13,relu,120,16,0,7,7007,13.151236492503774,0.15030978949078347
14,5,9,relu,120,16,20,2,7002,13.191948904557659,0.09559053912616439
12,7,14,relu,100,64,10,4,7004,13.228328947587448,0.17991667997794672
13,14,13,relu,120,64,10,9,7009,13.2295718869296,0.15574385202116559
13,7,5,relu,100,32,20,1,7001,13.271890286532315,0.11896438206078892
6,9,13,relu,100,64,5,3,7003,13.28066429831765,0.12803897439540843
12,11,8,relu,120,64,0,6,7006,13.333887037797407,0.09170238574598842
14,11,11,relu,120,128,20,0,7000,13.343919074318626,0.23614365182637898
12,8,9,relu,100,128,20,12,7012,13.411560419256038,0.24043293323643078
6,10,14,relu,120,256,10,14,7014,13.583681300770152,0.1141752983116137
10,10,10,relu,120,256,20,5,7005,13.72646229137074,0.1532058437008463
5,6,14,relu,120,512,0,11,7011,14.443063361428003,0.10096890906751121
9,5,6,relu,120,512,5,8,7008,15.542139989679509,0.4354529453007916
11,6,10,relu,100,512,20,13,7013,15.57298260081898,0.27665143472871045
7,9,8,relu,100,512,0,10,7010,15.677095447887075,0.302237704064777
