variable,metodo,jsd_global,jsd_modo_2,jsd_modo_4,jsd_modo_5,benchmark_p95_modo_2,benchmark_p95_modo_4,benchmark_p95_modo_5,jsd_modo_medio,supera_benchmark,n_modos_sobre_benchmark
ID,ROS,0.2202,0.07695,0.94025,0.43618,0.6333,0.27374,0.32429,0.48446,True,2
SEXO,ROS,0.005,0.01908,0.39291,0.04431,0.09339,0.02829,0.0202,0.1521,True,2
AUTLIC,ROS,0.0616,0.04729,0.61839,0.04937,0.25433,0.1106,0.10659,0.23835,True,1
ILM,ROS,0.07801,0.06473,0.80846,0.12545,0.56742,0.22577,0.18842,0.33288,True,1
HTS,ROS,0.08117,0.01761,0.94025,0.06158,0.22731,0.09574,0.08956,0.33981,True,1
JEFH,ROS,0.02028,3e-05,0.39291,0.0001,0.05478,0.02829,0.02639,0.13101,True,1
TVIA1,ROS,0.20467,0.0679,0.94025,0.17958,0.4302,0.23848,0.24015,0.39591,True,1
TVIA2,ROS,0.21066,0.11459,0.96612,0.27526,0.60642,0.23295,0.27527,0.45199,True,1
TVIA3,ROS,0.21881,0.14281,0.89645,0.34544,0.64418,0.19798,0.31519,0.46157,True,2
TVIA4,ROS,0.16668,0.01854,0.74998,0.07406,0.0754,0.15859,0.07303,0.28086,True,2
TVIA5,ROS,0.15139,0.10478,0.85856,0.46837,0.59702,0.27918,0.29836,0.47724,True,2
TCAM1,ROS,0.11398,0.05859,0.89645,0.20463,0.39626,0.18062,0.24662,0.38656,True,1
TCAM2,ROS,0.11741,0.1017,0.91739,0.34726,0.52861,0.22683,0.26783,0.45545,True,2
TCAM3,ROS,0.09317,0.1317,0.85856,0.24332,0.60303,0.26379,0.21233,0.41119,True,2
TCAM4,ROS,0.15326,0.01854,0.94025,0.09856,0.0754,0.19984,0.10222,0.35245,True,1
TCAM5,ROS,0.13391,0.1181,0.82444,0.49897,0.60442,0.25023,0.19638,0.4805,True,2
TESP3,ROS,0.09107,0.01814,0.45379,0.15159,0.24895,0.08743,0.09988,0.20784,True,2
TESP4,ROS,0.07649,1e-05,0.0,0.01745,0.0754,0.0,0.01747,0.00582,False,0
TESP5,ROS,0.14682,0.08354,0.54879,0.16765,0.43762,0.11777,0.17997,0.26666,True,1
CTOT1_w,ROS,0.05359,0.06053,0.96612,0.19496,0.4298,0.18422,0.22732,0.4072,True,1
CTOT2_w,ROS,0.12066,0.07382,0.87694,0.24739,0.54488,0.19293,0.18739,0.39938,True,2
CTOT3_w,ROS,0.09952,0.08066,0.82444,0.21625,0.53878,0.20428,0.21873,0.37378,True,1
CTOT4_w,ROS,0.16274,0.01854,0.8411,0.10262,0.0754,0.17941,0.10308,0.32076,True,1
CTOT5_w,ROS,0.06444,0.07695,0.89645,0.20428,0.59131,0.15071,0.21172,0.39256,True,1
DISP1,ROS,0.01081,8e-05,0.30492,0.00069,0.0994,0.01942,0.04664,0.10189,True,1
DISP2,ROS,0.06842,0.0,0.22739,2e-05,0.0,0.02474,0.03407,0.0758,True,1
DISP3,ROS,0.00223,0.00239,0.04155,2e-05,0.10803,0.02426,0.01505,0.01465,True,1
DISP4,ROS,0.07649,1e-05,0.0,0.01745,0.0754,0.0,0.01747,0.00582,False,0
DISP5,ROS,0.01295,0.0021,0.0,0.0,0.0519,0.0,0.0,0.0007,False,0
ID,SMOTE,0.11687,0.23283,1.0,0.42253,0.6333,0.27374,0.32429,0.55179,True,2
SEXO,SMOTE,0.06841,0.00921,0.39291,0.04431,0.09339,0.02829,0.0202,0.14881,True,2
AUTLIC,SMOTE,0.34216,0.41817,0.60791,0.36366,0.25433,0.1106,0.10659,0.46325,True,3
ILM,SMOTE,0.06779,0.18104,0.80846,0.19832,0.56742,0.22577,0.18842,0.39594,True,2
HTS,SMOTE,0.14942,0.23672,0.55823,0.17464,0.22731,0.09574,0.08956,0.3232,True,3
JEFH,SMOTE,0.04197,0.00492,0.39291,0.00505,0.05478,0.02829,0.02639,0.13429,True,1
TVIA1,SMOTE,0.19857,0.41084,0.3177,0.36739,0.4302,0.23848,0.24015,0.36531,True,2
TVIA2,SMOTE,0.22035,0.17815,0.40758,0.34017,0.60642,0.23295,0.27527,0.30864,True,2
TVIA3,SMOTE,0.11285,0.23546,0.79308,0.23914,0.64418,0.19798,0.31519,0.42256,True,1
TVIA4,SMOTE,0.15918,0.07789,0.87694,0.0529,0.0754,0.15859,0.07303,0.33591,True,2
TVIA5,SMOTE,0.14919,0.19283,0.85856,0.4818,0.59702,0.27918,0.29836,0.51106,True,2
TCAM1,SMOTE,0.10514,0.25047,0.29862,0.34523,0.39626,0.18062,0.24662,0.29811,True,2
TCAM2,SMOTE,0.11716,0.12963,0.38569,0.33673,0.52861,0.22683,0.26783,0.28402,True,2
TCAM3,SMOTE,0.06438,0.13861,0.79308,0.4102,0.60303,0.26379,0.21233,0.4473,True,2
TCAM4,SMOTE,0.14336,0.07789,0.91739,0.08682,0.0754,0.19984,0.10222,0.3607,True,2
TCAM5,SMOTE,0.09155,0.23,0.85856,0.21042,0.60442,0.25023,0.19638,0.43299,True,2
TESP3,SMOTE,0.16469,0.44278,0.79308,0.36477,0.24895,0.08743,0.09988,0.53354,True,3
TESP4,SMOTE,0.20325,0.0678,0.0,0.08682,0.0754,0.0,0.01747,0.05154,True,1
TESP5,SMOTE,0.15796,0.2894,0.41505,0.29626,0.43762,0.11777,0.17997,0.33357,True,2
CTOT1_w,SMOTE,0.04617,0.21327,0.28008,0.28027,0.4298,0.18422,0.22732,0.25787,True,2
CTOT2_w,SMOTE,0.11156,0.22128,0.40758,0.18655,0.54488,0.19293,0.18739,0.27181,True,1
CTOT3_w,SMOTE,0.04012,0.27365,0.79308,0.24893,0.53878,0.20428,0.21873,0.43855,True,2
CTOT4_w,SMOTE,0.17503,0.07789,0.94025,0.0529,0.0754,0.17941,0.10308,0.35701,True,2
CTOT5_w,SMOTE,0.05898,0.19137,0.8411,0.15953,0.59131,0.15071,0.21172,0.39734,True,1
DISP1,SMOTE,0.07352,0.02518,0.3177,0.01017,0.0994,0.01942,0.04664,0.11768,True,1
