variable,metodo,jsd_global,jsd_modo_1,jsd_modo_4,benchmark_p95_modo_1,benchmark_p95_modo_4,jsd_modo_medio,supera_benchmark,n_modos_sobre_benchmark
ID,ROS,0.11489,0.06625,0.0516,0.58432,0.20561,0.05892,False,0
SEXO,ROS,0.02911,0.00429,0.0115,0.10169,0.01876,0.00789,False,0
AUTLIC,ROS,0.11834,0.01035,0.0123,0.10523,0.05828,0.01133,False,0
ILM,ROS,0.14903,0.0515,0.03885,0.38375,0.14987,0.04518,False,0
HTS,ROS,0.03762,0.01838,0.03027,0.24426,0.1131,0.02433,False,0
JEFH,ROS,0.00158,0.00129,0.0006,0.04815,0.01382,0.00094,False,0
TVIA1,ROS,0.16918,0.06317,0.06313,0.58199,0.15582,0.06315,False,0
TVIA2,ROS,0.0983,0.04214,0.02822,0.48014,0.14389,0.03518,False,0
TVIA3,ROS,0.08834,0.03657,0.048,0.37303,0.13861,0.04229,False,0
TVIA4,ROS,0.03265,0.03054,0.02177,0.30737,0.15178,0.02616,False,0
TVIA5,ROS,0.07321,0.05935,0.03493,0.45277,0.15973,0.04714,False,0
TCAM1,ROS,0.19659,0.04413,0.0432,0.51243,0.12376,0.04366,False,0
TCAM2,ROS,0.02566,0.00656,0.00752,0.13964,0.04689,0.00704,False,0
TCAM3,ROS,0.062,0.03403,0.03413,0.4127,0.13155,0.03408,False,0
TCAM4,ROS,0.02669,0.0302,0.04669,0.26843,0.17656,0.03845,False,0
TCAM5,ROS,0.03815,0.05689,0.03366,0.5516,0.16027,0.04528,False,0
TESP3,ROS,0.03937,0.00993,0.00689,0.15619,0.04752,0.00841,False,0
TESP4,ROS,0.0104,0.00187,0.00024,0.08745,0.02717,0.00105,False,0
TESP5,ROS,0.07738,0.04698,0.01187,0.3363,0.06784,0.02943,False,0
CTOT1_w,ROS,0.16097,0.05108,0.02908,0.4903,0.14134,0.04008,False,0
CTOT2_w,ROS,0.04561,0.0243,0.02565,0.37592,0.12438,0.02497,False,0
CTOT3_w,ROS,0.0614,0.04714,0.03915,0.42569,0.11494,0.04314,False,0
CTOT4_w,ROS,0.01644,0.03641,0.01725,0.2924,0.09934,0.02683,False,0
CTOT5_w,ROS,0.14271,0.03966,0.02702,0.4357,0.11731,0.03334,False,0
DISP1,ROS,0.12442,0.0,0.00244,0.0,0.02026,0.00122,False,0
DISP2,ROS,0.04767,0.00148,0.00137,0.05393,0.01523,0.00142,False,0
DISP3,ROS,0.00165,0.00022,0.00011,0.03145,0.0135,0.00016,False,0
DISP4,ROS,0.00867,2e-05,0.0,0.04483,0.0,1e-05,False,0
DISP5,ROS,0.00011,0.0,0.00026,0.0,0.00546,0.00013,False,0
ID,SMOTE,0.06686,0.20432,0.0808,0.58432,0.20561,0.14256,False,0
SEXO,SMOTE,0.00188,0.02223,0.00908,0.10169,0.01876,0.01566,False,0
AUTLIC,SMOTE,0.32713,0.27347,0.33073,0.10523,0.05828,0.3021,True,2
ILM,SMOTE,0.16591,0.12024,0.07532,0.38375,0.14987,0.09778,False,0
