variable,metodo,jsd_global,jsd_modo_1,jsd_modo_3,benchmark_p95_modo_1,benchmark_p95_modo_3,jsd_modo_medio,supera_benchmark,n_modos_sobre_benchmark
ID,ROS,0.03671,0.00141,0.0034,0.01989,0.0103,0.0024,False,0
LUGGAGE,ROS,0.00683,2e-05,0.0003,0.00278,0.00156,0.00016,False,0
AGE,ROS,0.02211,0.0005,0.00072,0.00542,0.0027,0.00061,False,0
GA,ROS,0.02155,2e-05,0.00024,0.00169,0.00106,0.00013,False,0
TRAIN_TT,ROS,0.00889,0.00101,0.00094,0.01416,0.00633,0.00098,False,0
TRAIN_CO,ROS,0.02632,0.00074,0.00132,0.01295,0.00492,0.00103,False,0
SM_TT,ROS,0.00267,0.00036,0.00048,0.01431,0.00701,0.00042,False,0
SM_CO,ROS,0.02566,0.00047,0.00182,0.01361,0.00328,0.00115,False,0
SM_SEATS,ROS,0.00442,0.0,0.00025,0.00164,0.00103,0.00013,False,0
CAR_TT,ROS,0.0281,0.00039,0.00109,0.01001,0.00499,0.00074,False,0
CAR_CO,ROS,0.02635,0.00145,0.00188,0.01681,0.00753,0.00167,False,0
ID,SMOTE,0.03696,0.00419,0.00232,0.01989,0.0103,0.00325,False,0
LUGGAGE,SMOTE,0.0128,0.02425,0.01874,0.00278,0.00156,0.02149,True,2
AGE,SMOTE,0.01015,0.00685,0.02193,0.00542,0.0027,0.01439,True,2
GA,SMOTE,0.01981,0.0,0.0,0.00169,0.00106,0.0,False,0
TRAIN_TT,SMOTE,0.01239,0.00942,0.00285,0.01416,0.00633,0.00613,False,0
TRAIN_CO,SMOTE,0.02546,0.00387,0.00225,0.01295,0.00492,0.00306,False,0
SM_TT,SMOTE,0.00388,0.0054,0.00285,0.01431,0.00701,0.00412,False,0
SM_CO,SMOTE,0.02449,0.00145,0.00344,0.01361,0.00328,0.00245,True,1
SM_SEATS,SMOTE,0.00735,0.0406,0.00262,0.00164,0.00103,0.02161,True,2
CAR_TT,SMOTE,0.03576,0.00417,0.00165,0.01001,0.00499,0.00291,False,0
CAR_CO,SMOTE,0.03173,0.00583,0.00611,0.01681,0.00753,0.00597,False,0
ID,CVAE,0.03356,0.00161,0.00233,0.01989,0.0103,0.00197,False,0
LUGGAGE,CVAE,0.0056,0.0001,3e-05,0.00278,0.00156,7e-05,False,0
AGE,CVAE,0.01896,9e-05,0.00034,0.00542,0.0027,0.00022,False,0
GA,CVAE,0.0199,1e-05,4e-05,0.00169,0.00106,2e-05,False,0
TRAIN_TT,CVAE,0.41601,0.59549,0.64329,0.01416,0.00633,0.61939,True,2
TRAIN_CO,CVAE,0.46201,0.98039,0.09096,0.01295,0.00492,0.53568,True,2
SM_TT,CVAE,0.34645,0.69258,0.62444,0.01431,0.00701,0.65851,True,2
SM_CO,CVAE,0.4543,0.9832,0.06819,0.01361,0.00328,0.5257,True,2
SM_SEATS,CVAE,0.00504,0.0,0.0,0.00164,0.00103,0.0,False,0
CAR_TT,CVAE,0.34191,0.56927,0.50697,0.01001,0.00499,0.53812,True,2
CAR_CO,CVAE,0.6231,0.83344,0.77779,0.01681,0.00753,0.80562,True,2
