variable,metodo,jsd_global,jsd_modo_1,jsd_modo_3,jsd_modo_4,benchmark_p95_modo_1,benchmark_p95_modo_3,benchmark_p95_modo_4,jsd_modo_medio,supera_benchmark,n_modos_sobre_benchmark
RespondentID,ROS,0.0144,0.02056,0.02129,0.01291,0.43788,0.07444,0.08351,0.01826,False,0
avcycle,ROS,0.03491,0.0,0.00045,0.00161,0.0,0.01213,0.00788,0.00069,False,0
avwalk,ROS,0.00725,0.0,0.0002,0.00091,0.0,0.01266,0.0119,0.00037,False,0
avhsr,ROS,0.00082,0.00022,0.0,0.0,0.04297,0.0,0.01809,7e-05,False,0
avcar,ROS,0.00313,0.00035,2e-05,0.0,0.09328,0.01123,0.0,0.00012,False,0
timecycle,ROS,0.14153,0.02507,0.01005,0.00592,0.31577,0.0415,0.03865,0.01368,False,0
timewalk,ROS,0.29461,0.0,0.01999,0.01291,0.0,0.08586,0.07321,0.01096,False,0
accesshsr,ROS,0.02747,0.03549,0.0109,0.01326,0.39322,0.06056,0.0877,0.01989,False,0
waitingtimehsr,ROS,0.00259,0.0,0.00982,0.0,0.0,0.06989,0.0,0.00327,False,0
transfer,ROS,0.00669,0.01063,0.00108,0.00878,0.06551,0.01278,0.01522,0.00683,False,0
timehsr,ROS,0.02142,0.04492,0.01352,0.01999,0.36743,0.06888,0.0939,0.02615,False,0
timecar,ROS,0.01757,0.02264,0.00607,0.01373,0.2338,0.03354,0.08136,0.01414,False,0
parking,ROS,0.00168,0.0,0.00037,1e-05,0.0,0.00648,0.00677,0.00013,False,0
vehind,ROS,0.00128,0.00185,0.002,0.00054,0.09243,0.00641,0.00931,0.00146,False,0
owncycle,ROS,0.04288,0.00219,5e-05,0.00018,0.02115,0.00751,0.01201,0.00081,False,0
gender,ROS,0.00451,0.00036,8e-05,0.00017,0.04694,0.00757,0.0099,0.0002,False,0
work,ROS,0.00856,0.0004,0.00012,0.0005,0.04694,0.00752,0.01088,0.00034,False,0
visa,ROS,0.00036,0.0002,0.00113,0.00297,0.06551,0.01171,0.01444,0.00143,False,0
age,ROS,0.02488,0.03207,0.0117,0.02089,0.34354,0.06206,0.09494,0.02155,False,0
solo,ROS,0.00747,0.00072,0.00036,0.00057,0.05387,0.01245,0.0088,0.00055,False,0
shared,ROS,0.01639,1e-05,0.00032,0.00108,0.04563,0.0085,0.01151,0.00047,False,0
family,ROS,0.00492,0.00328,0.0,0.00179,0.04297,0.00625,0.01158,0.00169,False,0
child,ROS,0.00362,0.00328,0.00012,0.00013,0.04297,0.00594,0.00813,0.00118,False,0
primary_caregiver,ROS,0.00037,0.0,0.00026,0.00016,0.0,0.00851,0.01122,0.00014,False,0
LAT,ROS,0.00612,0.03994,0.00739,0.00682,0.37808,0.05579,0.06489,0.01805,False,0
LONG,ROS,0.02334,0.01204,0.02005,0.02296,0.39911,0.08423,0.10097,0.01835,False,0
DAUID,ROS,0.02898,0.00849,0.01983,0.03232,0.20031,0.10728,0.10787,0.02021,False,0
mhi,ROS,0.04156,0.03885,0.02007,0.02101,0.29799,0.08146,0.10916,0.02664,False,0
dwell_den,ROS,0.00861,0.03647,0.00781,0.01599,0.30867,0.03868,0.05103,0.02009,False,0
lum,ROS,0.02059,0.01711,0.02147,0.0267,0.28908,0.08326,0.12129,0.02176,False,0
st_den,ROS,0.02124,0.02546,0.02797,0.01701,0.34178,0.09694,0.12208,0.02348,False,0
inter_den,ROS,0.01243,0.01895,0.0057,0.0203,0.32,0.04363,0.07256,0.01498,False,0
SF_P_ratio,ROS,0.02465,0.02568,0.00966,0.02165,0.25149,0.06815,0.10667,0.019,False,0
side_den,ROS,0.01958,0.0417,0.0208,0.01947,0.38434,0.08468,0.09587,0.02732,False,0
Shelters_SD,ROS,5e-05,0.0,0.00053,0.00019,0.0,0.00942,0.00843,0.00024,False,0
Shelters_D,ROS,0.00244,0.00038,0.00029,0.0,0.07656,0.00518,0.00797,0.00022,False,0
Shelters_A,ROS,0.00049,0.00155,0.00162,0.0,0.06594,0.00596,0.01451,0.00106,False,0
Shelters_SA,ROS,0.00039,0.00063,0.00376,0.00013,0.06551,0.0046,0.01025,0.0015,False,0
RespondentID,SMOTE,0.01203,0.07841,0.02831,0.02848,0.43788,0.07444,0.08351,0.04507,False,0
avcycle,SMOTE,0.02549,0.0,0.04713,0.0104,0.0,0.01213,0.00788,0.01918,True,2
avwalk,SMOTE,0.02292,0.0,0.06152,0.03293,0.0,0.01266,0.0119,0.03148,True,2
avhsr,SMOTE,0.00431,0.01686,0.0,0.01038,0.04297,0.0,0.01809,0.00908,False,0
avcar,SMOTE,0.00571,0.08342,0.02412,0.0,0.09328,0.01123,0.0,0.03585,True,1
timecycle,SMOTE,0.25582,0.24509,0.23616,0.11507,0.31577,0.0415,0.03865,0.19877,True,2
timewalk,SMOTE,0.2338,0.0,0.1019,0.07193,0.0,0.08586,0.07321,0.05795,True,1
accesshsr,SMOTE,0.09707,0.20952,0.05211,0.17552,0.39322,0.06056,0.0877,0.14571,True,1
waitingtimehsr,SMOTE,0.04876,0.0,0.20204,0.0,0.0,0.06989,0.0,0.06735,True,1
transfer,SMOTE,0.01603,0.02037,0.05075,0.06041,0.06551,0.01278,0.01522,0.04384,True,2
timehsr,SMOTE,0.0734,0.10011,0.16322,0.16965,0.36743,0.06888,0.0939,0.14433,True,2
timecar,SMOTE,0.19372,0.27848,0.22648,0.17041,0.2338,0.03354,0.08136,0.22512,True,3
parking,SMOTE,0.00524,0.0,0.01352,0.04621,0.0,0.00648,0.00677,0.01991,True,2
vehind,SMOTE,0.05282,0.0646,0.07939,0.07882,0.09243,0.00641,0.00931,0.07427,True,2
owncycle,SMOTE,0.0059,0.01371,0.04369,0.05845,0.02115,0.00751,0.01201,0.03862,True,2
gender,SMOTE,0.03463,0.07799,0.04089,0.08525,0.04694,0.00757,0.0099,0.06804,True,3
work,SMOTE,0.01883,0.05183,0.05117,0.03264,0.04694,0.00752,0.01088,0.04521,True,3
visa,SMOTE,0.00367,0.002,0.00453,0.00133,0.06551,0.01171,0.01444,0.00262,False,0
age,SMOTE,0.01271,0.07626,0.02435,0.03687,0.34354,0.06206,0.09494,0.04583,False,0
solo,SMOTE,0.02183,0.05458,0.04176,0.04738,0.05387,0.01245,0.0088,0.04791,True,3
shared,SMOTE,0.08189,0.03979,0.06995,0.02371,0.04563,0.0085,0.01151,0.04448,True,2
family,SMOTE,0.00777,0.02115,0.07487,0.04177,0.04297,0.00625,0.01158,0.04593,True,2
child,SMOTE,0.00973,0.02115,0.05461,0.05067,0.04297,0.00594,0.00813,0.04214,True,2
primary_caregiver,SMOTE,0.00844,0.0,0.00889,0.02907,0.0,0.00851,0.01122,0.01265,True,2
LAT,SMOTE,0.02799,0.20276,0.05736,0.04964,0.37808,0.05579,0.06489,0.10325,True,1
LONG,SMOTE,0.02865,0.1388,0.02963,0.06702,0.39911,0.08423,0.10097,0.07848,False,0
DAUID,SMOTE,0.13936,0.24337,0.182,0.12056,0.20031,0.10728,0.10787,0.18198,True,3
mhi,SMOTE,0.09225,0.26886,0.07674,0.05433,0.29799,0.08146,0.10916,0.13331,False,0
dwell_den,SMOTE,0.01167,0.23504,0.04375,0.0463,0.30867,0.03868,0.05103,0.10837,True,1
lum,SMOTE,0.14024,0.39726,0.12442,0.07876,0.28908,0.08326,0.12129,0.20015,True,2
st_den,SMOTE,0.10429,0.33604,0.10679,0.07875,0.34178,0.09694,0.12208,0.17386,True,1
inter_den,SMOTE,0.03273,0.32952,0.04417,0.041,0.32,0.04363,0.07256,0.13823,True,2
