ICH,metodo,n_original,n_sintetico,n_final,ratio_sint_orig,share_original,share_final
1,ROS,125,0,125,0.0,0.3141,0.2604
2,ROS,41,67,108,1.634,0.103,0.225
4,ROS,124,1,125,0.008,0.3116,0.2604
5,ROS,108,14,122,0.13,0.2714,0.2542
1,SMOTE,125,0,125,0.0,0.3141,0.2604
2,SMOTE,41,67,108,1.634,0.103,0.225
4,SMOTE,124,1,125,0.008,0.3116,0.2604
5,SMOTE,108,14,122,0.13,0.2714,0.2542
1,CVAE,125,0,125,0.0,0.3141,0.2604
2,CVAE,41,67,108,1.634,0.103,0.225
4,CVAE,124,1,125,0.008,0.3116,0.2604
5,CVAE,108,14,122,0.13,0.2714,0.2542
