choice,metodo,n_original,n_sintetico,n_final,ratio_sint_orig,share_original,share_final
1,ROS,48,531,579,11.062,0.0349,0.2269
2,ROS,711,0,711,0.0,0.5167,0.2786
3,ROS,336,301,637,0.896,0.2442,0.2496
4,ROS,281,344,625,1.224,0.2042,0.2449
1,SMOTE,48,531,579,11.062,0.0349,0.2269
2,SMOTE,711,0,711,0.0,0.5167,0.2786
3,SMOTE,336,301,637,0.896,0.2442,0.2496
4,SMOTE,281,344,625,1.224,0.2042,0.2449
1,CVAE,48,531,579,11.062,0.0349,0.2269
2,CVAE,711,0,711,0.0,0.5167,0.2786
3,CVAE,336,301,637,0.896,0.2442,0.2496
4,CVAE,281,344,625,1.224,0.2042,0.2449
