metodo,coeficiente,media,sd_entre_particiones,se_promedio_estimador,n_particiones
CVAE,asc_bus,-3.237224,0.417322,0.665949,50
CVAE,asc_car_driver,-4.149548,0.431201,0.65243,50
CVAE,asc_car_passenger,-2.219703,0.413536,0.494158,50
CVAE,asc_metro,0.0,0.0,,50
CVAE,b_autlic,2.610102,0.313961,0.573475,50
CVAE,b_ivt,0.000503,0.000507,0.000667,50
CVAE,b_sex_cp,-0.769276,0.2623,0.26796,50
CVAE,b_tcw,0.009419,0.005687,0.010514,50
CVAE,b_wkt,-0.002085,0.000302,0.00049,50
CVAE,b_wt,0.001656,0.002236,0.003565,50
ROS,asc_bus,-1.877784,0.400184,0.596326,50
ROS,asc_car_driver,-4.333667,0.400206,0.702739,50
ROS,asc_car_passenger,-2.685448,0.308197,0.476033,50
ROS,asc_metro,0.0,0.0,,50
ROS,b_autlic,2.546892,0.385566,0.61239,50
ROS,b_ivt,-0.001814,0.000485,0.000637,50
ROS,b_sex_cp,-0.801791,0.262563,0.278331,50
ROS,b_tcw,-0.009967,0.007648,0.013404,50
ROS,b_wkt,-0.002891,0.000295,0.000476,50
ROS,b_wt,0.000674,0.002409,0.003382,50
SMOTE,asc_bus,-1.981521,0.417987,0.644316,50
SMOTE,asc_car_driver,-4.652067,0.373904,0.769137,50
SMOTE,asc_car_passenger,-2.930378,0.273518,0.506918,50
SMOTE,asc_metro,0.0,0.0,,50
SMOTE,b_autlic,2.707329,0.36614,0.680174,50
SMOTE,b_ivt,-0.002055,0.000504,0.000705,50
SMOTE,b_sex_cp,-1.148837,0.260742,0.291561,50
SMOTE,b_tcw,-0.007147,0.008399,0.013533,50
SMOTE,b_wkt,-0.002953,0.000291,0.000508,50
SMOTE,b_wt,0.000435,0.002295,0.003637,50
class_weights,asc_bus,-1.871293,0.361786,0.705089,50
class_weights,asc_car_driver,-4.284204,0.31251,0.816605,50
class_weights,asc_car_passenger,-2.672459,0.237047,0.557995,50
class_weights,asc_metro,0.0,0.0,,50
class_weights,b_autlic,2.495815,0.320218,0.732392,50
class_weights,b_ivt,-0.001803,0.000434,0.000763,50
class_weights,b_sex_cp,-0.790531,0.178481,0.422222,50
class_weights,b_tcw,-0.009668,0.00692,0.014352,50
class_weights,b_wkt,-0.002884,0.000245,0.000547,50
class_weights,b_wt,0.000638,0.00181,0.003808,50
original,asc_bus,-1.669616,0.336076,0.625755,50
original,asc_car_driver,-3.924304,0.245944,0.747301,50
original,asc_car_passenger,-3.479199,0.20422,0.489502,50
original,asc_metro,0.0,0.0,,50
original,b_autlic,2.454003,0.284684,0.708334,50
original,b_ivt,-0.001981,0.000414,0.000728,50
original,b_sex_cp,-0.737086,0.165776,0.409634,50
original,b_tcw,-0.015054,0.007212,0.014266,50
original,b_wkt,-0.002296,0.000233,0.000505,50
original,b_wt,0.000674,0.001395,0.003143,50
