metodo,coeficiente,media,sd_entre_particiones,se_promedio_estimador,n_particiones
CVAE,asc_bus,0.876312,0.332191,0.593045,39
CVAE,asc_car_driver,-2.335422,0.845149,0.86381,39
CVAE,asc_metro,0.0,0.0,,39
CVAE,b_autlic,1.586448,0.452817,0.423531,39
CVAE,b_ivt,-0.001168,0.001406,0.000729,39
CVAE,b_mi_bus,-2.2e-05,9e-06,9e-06,39
CVAE,b_mi_cd,3.2e-05,8e-06,1e-05,39
CVAE,b_tcw,-0.021596,0.024801,0.016204,39
CVAE,b_wkt,0.000878,0.000523,0.000469,39
CVAE,b_wt,0.007573,0.001462,0.001841,39
ROS,asc_bus,-1.943381,0.437702,0.540099,32
ROS,asc_car_driver,-4.007626,0.811878,0.739149,32
ROS,asc_metro,0.0,0.0,,32
ROS,b_autlic,1.451644,0.55339,0.518823,32
ROS,b_ivt,-0.001763,0.000592,0.000973,32
ROS,b_mi_bus,-4e-06,3e-06,5e-06,32
ROS,b_mi_cd,2e-05,5e-06,5e-06,32
ROS,b_tcw,0.01356,0.00968,0.00935,32
ROS,b_wkt,-0.000619,0.000321,0.000288,32
ROS,b_wt,-0.002945,0.001993,0.002281,32
SMOTE,asc_bus,-2.450519,0.435061,0.737681,42
SMOTE,asc_car_driver,-4.521691,0.790049,0.946887,42
SMOTE,asc_metro,0.0,0.0,,42
SMOTE,b_autlic,1.142593,0.523229,0.608996,42
SMOTE,b_ivt,-0.00197,0.000974,0.001168,42
SMOTE,b_mi_bus,-8e-06,4e-06,5e-06,42
SMOTE,b_mi_cd,1.7e-05,5e-06,5e-06,42
SMOTE,b_tcw,0.010049,0.013708,0.010625,42
SMOTE,b_wkt,-0.000884,0.000338,0.00036,42
SMOTE,b_wt,-0.005676,0.002073,0.003294,42
class_weights,asc_bus,-1.689738,0.273804,0.721075,11
class_weights,asc_car_driver,-3.733568,0.514841,1.248925,11
class_weights,asc_metro,0.0,0.0,,11
class_weights,b_autlic,1.315427,0.41569,0.963635,11
class_weights,b_ivt,-0.0022,0.000801,0.001235,11
class_weights,b_mi_bus,-4e-06,2e-06,5e-06,11
class_weights,b_mi_cd,2.1e-05,2e-06,8e-06,11
class_weights,b_tcw,0.007646,0.014406,0.016884,11
class_weights,b_wkt,-0.000663,0.000297,0.000469,11
class_weights,b_wt,-0.002329,0.001283,0.003209,11
original,asc_bus,-1.926586,0.311935,0.655575,35
original,asc_car_driver,-5.204738,0.514141,1.14216,35
original,asc_metro,0.0,0.0,,35
original,b_autlic,1.240145,0.375327,0.829729,35
original,b_ivt,-0.001191,0.000626,0.001136,35
original,b_mi_bus,-5e-06,2e-06,5e-06,35
original,b_mi_cd,1.5e-05,3e-06,7e-06,35
original,b_tcw,-0.002566,0.008393,0.014427,35
original,b_wkt,-0.000769,0.000245,0.000414,35
original,b_wt,-0.006048,0.001564,0.002729,35
