metodo,coeficiente,media,sd_entre_particiones,se_promedio_estimador,n_particiones
CVAE,asc_car,0.725312,0.041422,0.036856,50
CVAE,asc_sm,0.0,0.0,,50
CVAE,asc_train,0.722452,0.072493,0.045512,50
CVAE,b_cost,0.000811,3.6e-05,2.5e-05,50
CVAE,b_time,-0.006827,0.000928,0.000455,50
ROS,asc_car,0.347815,0.010489,0.025125,50
ROS,asc_sm,0.0,0.0,,50
ROS,asc_train,0.350059,0.021111,0.029323,50
ROS,b_cost,0.000371,8e-06,1.1e-05,50
ROS,b_time,-0.003308,0.000275,0.000272,50
SMOTE,asc_car,0.357212,0.011454,0.025248,50
SMOTE,asc_sm,0.0,0.0,,50
SMOTE,asc_train,0.371727,0.021583,0.029687,50
SMOTE,b_cost,0.000377,1e-05,1.1e-05,50
SMOTE,b_time,-0.003596,0.000274,0.000278,50
class_weights,asc_car,0.34919,0.0091,0.032245,50
class_weights,asc_sm,0.0,0.0,,50
class_weights,asc_train,0.351699,0.01658,0.045278,50
class_weights,b_cost,0.000372,7e-06,1.6e-05,50
class_weights,b_time,-0.003327,0.000211,0.000404,50
original,asc_car,-0.404833,0.009142,0.031106,50
original,asc_sm,0.0,0.0,,50
original,asc_train,-1.106313,0.015993,0.044628,50
original,b_cost,0.000333,9e-06,1.9e-05,50
original,b_time,-0.004109,0.000201,0.000379,50
