metodo,coeficiente,media,sd_entre_particiones,se_promedio_estimador,n_particiones
CVAE,asc_car,-1.662711,1.001179,0.77435,50
CVAE,asc_cycling,0.0,0.0,,50
CVAE,asc_hsr,-1.300394,0.952724,0.716738,50
CVAE,asc_walking,-4.366427,1.141526,0.673005,50
CVAE,b_at,-0.152451,0.022334,0.021504,50
CVAE,b_lsc,-0.617591,0.365382,0.367344,50
CVAE,b_lsh,-0.258936,0.335907,0.320895,50
CVAE,b_lshc,-2.696593,0.318259,0.305927,50
CVAE,b_lshh,-1.632079,0.278776,0.240709,50
CVAE,b_lshw,0.98642,0.260857,0.231619,50
CVAE,b_lsw,-0.866437,0.214461,0.26235,50
CVAE,b_parking,2.663213,0.272647,0.336329,50
CVAE,b_sdc,0.861095,0.17018,0.125578,50
CVAE,b_sdh,0.889969,0.165161,0.119644,50
CVAE,b_sdw,0.569807,0.171426,0.117837,50
CVAE,b_sh,0.4248,0.101863,0.139664,50
CVAE,b_swd,-0.20487,0.075722,0.049257,50
CVAE,b_swdc,-0.354127,0.071559,0.052001,50
CVAE,b_swdh,-0.362859,0.07015,0.049236,50
CVAE,b_tc,0.063363,0.168682,0.062107,50
CVAE,b_th,-0.031442,0.003842,0.005525,50
CVAE,b_ttc,-0.54877,0.068349,0.056805,50
CVAE,b_tw,0.082081,0.020259,0.017299,50
ROS,asc_car,5.787883,1.438843,0.915843,49
ROS,asc_cycling,0.0,0.0,,49
ROS,asc_hsr,8.361934,1.453247,0.833792,49
ROS,asc_walking,6.256746,1.704988,0.845535,49
ROS,b_at,-0.087913,0.009423,0.010263,49
ROS,b_lsc,-1.79707,0.745381,0.469428,49
ROS,b_lsh,-1.85265,0.75788,0.43996,49
ROS,b_lshc,-3.891831,0.769208,0.467795,49
ROS,b_lshh,-3.540566,0.759633,0.43006,49
ROS,b_lshw,-1.006021,1.013564,0.498699,49
ROS,b_lsw,-1.175609,0.893616,0.540366,49
ROS,b_parking,2.512732,0.373846,0.306962,49
ROS,b_sdc,0.251903,0.07621,0.05116,49
ROS,b_sdh,0.238095,0.070108,0.045293,49
ROS,b_sdw,0.055733,0.06011,0.04307,49
ROS,b_sh,0.402573,0.11205,0.126443,49
ROS,b_swd,-0.038013,0.023739,0.017526,49
ROS,b_swdc,-0.120778,0.028865,0.020502,49
ROS,b_swdh,-0.128096,0.026193,0.017195,49
ROS,b_tc,3.434536,0.50974,0.264994,49
ROS,b_th,-0.018102,0.00432,0.005018,49
ROS,b_ttc,0.345799,0.140897,0.150595,49
ROS,b_tw,0.022977,0.010809,0.009463,49
SMOTE,asc_car,4.260674,1.790471,1.025049,50
SMOTE,asc_cycling,0.0,0.0,,50
SMOTE,asc_hsr,6.979782,1.682862,0.915815,50
SMOTE,asc_walking,5.07623,1.727532,0.90465,50
SMOTE,b_at,-0.101698,0.011657,0.013275,50
SMOTE,b_lsc,2.119772,0.551382,0.568883,50
SMOTE,b_lsh,2.31744,0.46595,0.505125,50
SMOTE,b_lshc,-1.538205,0.500399,0.439067,50
SMOTE,b_lshh,-0.932445,0.446618,0.325606,50
SMOTE,b_lshw,1.924873,0.382612,0.428644,50
SMOTE,b_lsw,3.205766,0.370984,0.587863,50
SMOTE,b_parking,2.506745,0.300998,0.459283,50
SMOTE,b_sdc,0.313793,0.072738,0.072855,50
SMOTE,b_sdh,0.297126,0.071576,0.065831,50
SMOTE,b_sdw,0.069269,0.070928,0.055915,50
SMOTE,b_sh,0.617791,0.108867,0.15443,50
SMOTE,b_swd,-0.057726,0.029685,0.022407,50
SMOTE,b_swdc,-0.163935,0.028009,0.027669,50
SMOTE,b_swdh,-0.166615,0.028073,0.024192,50
SMOTE,b_tc,4.095494,0.719884,0.349871,50
SMOTE,b_th,-0.02642,0.004065,0.005802,50
SMOTE,b_ttc,0.390359,0.153904,0.173608,50
SMOTE,b_tw,0.03262,0.010905,0.01338,50
class_weights,asc_car,5.754278,1.351138,2.487512,48
class_weights,asc_cycling,0.0,0.0,,48
class_weights,asc_hsr,8.236864,1.359152,2.394078,48
class_weights,asc_walking,6.196591,1.682469,2.684371,48
class_weights,b_at,-0.087133,0.006117,0.015256,48
class_weights,b_lsc,-1.671071,0.686613,0.993718,48
class_weights,b_lsh,-1.712681,0.682116,0.972622,48
class_weights,b_lshc,-3.832138,0.702872,0.990611,48
class_weights,b_lshh,-3.459057,0.681258,0.947927,48
class_weights,b_lshw,-0.972296,0.984727,1.219685,48
class_weights,b_lsw,-1.119433,0.87422,1.198186,48
class_weights,b_parking,2.49695,0.284738,0.451155,48
class_weights,b_sdc,0.250616,0.058212,0.101381,48
class_weights,b_sdh,0.237552,0.054227,0.094666,48
class_weights,b_sdw,0.056537,0.056092,0.093098,48
class_weights,b_sh,0.419079,0.07165,0.188368,48
class_weights,b_swd,-0.038035,0.02256,0.040529,48
class_weights,b_swdc,-0.121217,0.022117,0.043345,48
class_weights,b_swdh,-0.127799,0.021744,0.039698,48
class_weights,b_tc,3.42598,0.45745,0.859396,48
class_weights,b_th,-0.01799,0.0027,0.007666,48
class_weights,b_ttc,0.332841,0.102401,0.229603,48
class_weights,b_tw,0.021635,0.008382,0.016252,48
original,asc_car,11.393549,1.473741,3.579637,49
original,asc_cycling,0.0,0.0,,49
original,asc_hsr,13.960731,1.46697,3.523245,49
original,asc_walking,14.902013,1.553086,3.745187,49
original,b_at,-0.082636,0.00607,0.014932,49
original,b_lsc,-2.283855,0.580216,1.285985,49
original,b_lsh,-2.342575,0.575714,1.273191,49
original,b_lshc,-4.984359,0.608993,1.343042,49
original,b_lshh,-4.6364,0.574177,1.313321,49
original,b_lshw,-3.335768,0.595655,1.452406,49
original,b_lsw,-2.532417,0.565258,1.381763,49
original,b_parking,2.378095,0.249917,0.409959,49
original,b_sdc,0.340366,0.059229,0.118914,49
original,b_sdh,0.329923,0.055023,0.113027,49
original,b_sdw,0.174907,0.055235,0.107472,49
original,b_sh,0.423025,0.065471,0.173437,49
original,b_swd,-0.096947,0.021604,0.043649,49
original,b_swdc,-0.165658,0.021725,0.047897,49
original,b_swdh,-0.170551,0.021104,0.044864,49
original,b_tc,5.175308,0.52365,1.141788,49
original,b_th,-0.018691,0.002683,0.007699,49
original,b_ttc,0.327859,0.103979,0.236488,49
original,b_tw,-0.04361,0.005359,0.013032,49
