metodo,coeficiente,signo_esperado,media,pct_particiones_invertido,invertido_en_media
CVAE,b_ivt,-1,0.0005,0.9,True
CVAE,b_wkt,-1,-0.0021,0.0,False
CVAE,b_wt,-1,0.0017,0.78,True
CVAE,b_tcw,-1,0.0094,0.94,True
ROS,b_ivt,-1,-0.0018,0.0,False
ROS,b_wkt,-1,-0.0029,0.0,False
ROS,b_wt,-1,0.0007,0.72,True
ROS,b_tcw,-1,-0.01,0.06,False
SMOTE,b_ivt,-1,-0.0021,0.0,False
SMOTE,b_wkt,-1,-0.003,0.0,False
SMOTE,b_wt,-1,0.0004,0.62,True
SMOTE,b_tcw,-1,-0.0071,0.16,False
class_weights,b_ivt,-1,-0.0018,0.0,False
class_weights,b_wkt,-1,-0.0029,0.0,False
class_weights,b_wt,-1,0.0006,0.72,True
class_weights,b_tcw,-1,-0.0097,0.04,False
original,b_ivt,-1,-0.002,0.0,False
original,b_wkt,-1,-0.0023,0.0,False
original,b_wt,-1,0.0007,0.72,True
original,b_tcw,-1,-0.0151,0.0,False
