metodo,coeficiente,signo_esperado,media,pct_particiones_invertido,invertido_en_media
CVAE,b_ivt,-1,-0.0012,0.2564,False
CVAE,b_wkt,-1,0.0009,0.9487,True
CVAE,b_wt,-1,0.0076,1.0,True
CVAE,b_tcw,-1,-0.0216,0.2564,False
ROS,b_ivt,-1,-0.0018,0.0,False
ROS,b_wkt,-1,-0.0006,0.0,False
ROS,b_wt,-1,-0.0029,0.0938,False
ROS,b_tcw,-1,0.0136,0.9375,True
SMOTE,b_ivt,-1,-0.002,0.0238,False
SMOTE,b_wkt,-1,-0.0009,0.0,False
SMOTE,b_wt,-1,-0.0057,0.0,False
SMOTE,b_tcw,-1,0.01,0.8095,True
class_weights,b_ivt,-1,-0.0022,0.0,False
class_weights,b_wkt,-1,-0.0007,0.0,False
class_weights,b_wt,-1,-0.0023,0.0,False
class_weights,b_tcw,-1,0.0076,0.8182,True
original,b_ivt,-1,-0.0012,0.0571,False
original,b_wkt,-1,-0.0008,0.0,False
original,b_wt,-1,-0.006,0.0,False
original,b_tcw,-1,-0.0026,0.4,False
