metodo,coeficiente,signo_esperado,media,pct_particiones_invertido,invertido_en_media
CVAE,b_tc,-1,0.0634,0.52,True
CVAE,b_tw,-1,0.0821,1.0,True
CVAE,b_th,-1,-0.0314,0.0,False
CVAE,b_ttc,-1,-0.5488,0.0,False
CVAE,b_at,-1,-0.1525,0.0,False
ROS,b_tc,-1,3.4345,1.0,True
ROS,b_tw,-1,0.023,1.0,True
ROS,b_th,-1,-0.0181,0.0,False
ROS,b_ttc,-1,0.3458,1.0,True
ROS,b_at,-1,-0.0879,0.0,False
SMOTE,b_tc,-1,4.0955,1.0,True
SMOTE,b_tw,-1,0.0326,1.0,True
SMOTE,b_th,-1,-0.0264,0.0,False
SMOTE,b_ttc,-1,0.3904,0.98,True
SMOTE,b_at,-1,-0.1017,0.0,False
class_weights,b_tc,-1,3.426,1.0,True
class_weights,b_tw,-1,0.0216,1.0,True
class_weights,b_th,-1,-0.018,0.0,False
class_weights,b_ttc,-1,0.3328,1.0,True
class_weights,b_at,-1,-0.0871,0.0,False
original,b_tc,-1,5.1753,1.0,True
original,b_tw,-1,-0.0436,0.0,False
original,b_th,-1,-0.0187,0.0,False
original,b_ttc,-1,0.3279,1.0,True
original,b_at,-1,-0.0826,0.0,False
